train_input_1,train_input_2,train_input_3,train_output_1
-42,2,-84,-42
65,-36,36,36
59,-67,-81,-67
78,-11,11,11
-23,-55,25,-23
47,-22,45,45
-99,8,62,8
11,-62,-65,-62
-25,91,27,27
-60,17,-45,-45
-30,-49,19,-30
-71,39,-92,-71
62,0,-78,0
-58,52,-66,-58
46,-64,62,46
61,-59,-36,-36
60,32,-21,32
30,-17,-93,-17
86,-9,-12,-9
11,43,-99,11
91,-56,-85,-56
-72,53,22,22
-23,-18,50,-18
-44,21,-50,-44
37,31,-89,31
80,99,67,80
52,50,-82,50
-81,37,-56,-56
23,-14,-78,-14
-22,-64,-21,-22
-59,-31,29,-31
-94,98,-83,-83
42,-79,38,38
62,12,-49,12
68,80,63,68
-24,-36,-52,-36
-76,14,-31,-31
18,-17,8,8
39,-4,-75,-4
-32,7,-64,-32
-23,-12,99,-12
-34,14,14,14
-77,-77,-20,-77
-43,-50,-1,-43
5,-55,-7,-7
-61,-56,60,-56
0,54,48,48
-31,54,39,39
-82,92,-18,-18
8,43,-76,8
-67,61,13,13
31,-45,-31,-31
62,-90,-50,-50
9,-86,3,3
70,-45,-3,-3
86,17,36,36
-52,-35,65,-35
39,-32,-15,-15
84,-3,-16,-3
-26,92,-23,-23
72,-70,-13,-13
11,-85,62,11
-49,-48,78,-48
-13,-5,63,-5
45,-2,45,45
73,-99,-46,-46
23,-5,43,23
-16,-65,6,-16
-41,0,-4,-4
73,65,-44,65
35,-19,-3,-3
60,79,59,60
-99,40,-72,-72
-52,45,5,5
6,51,-81,6
67,-74,-38,-38
51,-96,-27,-27
-18,-24,58,-18
16,-39,-63,-39
-12,-47,-28,-28
-46,-58,52,-46
5,-60,31,5
-42,-19,-57,-42
-56,6,-11,-11
10,36,-56,10
83,38,6,38
-64,-17,-45,-45
81,67,29,67
-99,-88,-17,-88
-46,91,89,89
-62,-67,-34,-62
13,58,-29,13
56,94,-92,56
35,-21,21,21
77,-100,83,77
37,26,-87,26
-2,-88,-66,-66
-17,-33,-74,-33
-63,-35,19,-35
76,-44,-12,-12
-7,90,-88,-7
79,-60,-83,-60
91,3,42,42
-79,76,-56,-56
-29,-55,31,-29
-65,-5,-3,-5
83,52,-51,52
88,-59,28,28
-30,21,-97,-30
60,8,39,39
-94,30,-21,-21
93,-83,-10,-10
-67,-12,49,-12
-74,-57,-5,-57
69,59,4,59
18,-64,61,18
-75,72,25,25
-90,-4,77,-4
-93,46,-24,-24
-96,-100,-43,-96
-11,2,-54,-11
-66,-48,73,-48
-73,37,1,1
20,75,11,20
-29,-67,-95,-67
17,-23,30,17
-43,-68,74,-43
82,-23,-38,-23
-3,31,-52,-3
-36,0,-64,-36
64,31,-81,31
-96,-99,-81,-96
-41,25,48,25
-27,-35,74,-27
-36,9,-37,-36
74,69,-50,69
-3,10,-71,-3
-29,57,60,57
-86,41,21,21
-31,10,4,4
86,-60,2,2
78,22,3,22
-25,-94,89,-25
-91,-28,-15,-28
78,87,-18,78
-84,-86,-1,-84
69,25,8,25
39,21,28,28
-94,54,20,20
92,-95,-52,-52
-34,22,20,20
82,15,83,82
40,-79,85,40
13,45,26,26
-75,-87,7,-75
74,4,-9,4
91,-90,9,9
32,-77,-5,-5
99,-45,-15,-15
-23,-4,17,-4
8,32,87,32
-42,87,-73,-42
-50,-28,31,-28
6,89,-43,6
-59,45,-28,-28
-78,-17,-80,-78
-38,-54,-30,-38
97,56,65,65
96,71,-67,71
9,53,22,22
-48,79,-84,-48
85,35,-22,35
14,46,-88,14
-11,-57,5,-11
0,68,-31,0
-90,4,94,4
-39,-79,15,-39
99,19,52,52
-77,43,91,43
22,55,12,22
-97,14,29,14
38,-96,48,38
-48,-18,67,-18
-10,4,6,4
-32,-59,-28,-32
5,90,-48,5
3,-82,93,3
-88,73,-69,-69
32,-7,-54,-7
25,-60,28,25
55,50,-93,50
-64,-36,7,-36
44,-6,49,44
43,-28,58,43
67,-92,31,31
-26,85,-18,-18
-7,22,25,22
11,-83,-2,-2
-100,-71,74,-71
16,-68,17,16
-88,-55,-18,-55
21,-38,-63,-38
-2,83,-90,-2
23,47,-81,23
44,49,66,49
70,55,47,55
100,12,-9,12
-12,59,78,59
-42,73,71,71
71,-73,-88,-73
-6,71,50,50
-29,87,24,24
-42,-40,100,-40
-51,-50,-29,-50
35,-96,45,35
98,15,-7,15
-23,-35,-45,-35
-15,-30,-50,-30
-86,2,-6,-6
27,99,82,82
40,-36,12,12
-27,29,-61,-27
-91,-98,-100,-98
60,6,-89,6
-15,75,3,3
36,99,42,42
-7,98,67,67
33,-53,-67,-53
-72,-33,28,-33
-21,28,20,20
73,-83,81,73
59,-21,35,35
-57,92,-31,-31
71,95,-61,71
21,35,-66,21
44,-43,47,44
-25,-72,-89,-72
16,-93,99,16
91,33,28,33
9,-5,-69,-5
-61,16,-80,-61
90,48,-73,48
-78,-36,45,-36
23,-55,0,0
42,-77,73,42
-66,18,-65,-65
68,-66,-10,-10
-44,-87,45,-44
-64,16,-36,-36
71,-77,5,5
82,-36,-21,-21
-7,20,74,20
82,55,-36,55
-15,-80,46,-15
-48,-15,-10,-15
-1,-58,-36,-36
83,-10,25,25
15,75,-60,15
-21,4,-71,-21
-32,-56,-27,-32
-88,35,-97,-88
-4,47,-76,-4
45,24,27,27
8,48,-52,8
-25,-3,-80,-25
20,5,-3,5
44,43,-43,43
18,50,41,41
-40,31,-39,-39
-63,17,55,17
-89,39,-41,-41
-43,-19,47,-19
-34,-33,-40,-34
100,63,-58,63
-33,-13,-7,-13
46,-88,-92,-88
-12,90,-27,-12
0,79,-98,0
60,-41,27,27
98,-76,-10,-10
76,91,59,76
74,-60,-16,-16
76,84,-15,76
36,90,-90,36
-35,79,-49,-35
60,-40,-100,-40
98,32,-78,32
30,17,-55,17
54,94,73,73
-11,21,-37,-11
-31,20,10,10
-89,-92,-50,-89
67,-11,88,67
-67,81,82,81
96,-71,-2,-2
-5,1,-9,-5
-81,-31,4,-31
-5,58,-96,-5
23,-38,-19,-19
-24,35,-73,-24
-7,9,8,8
-24,-37,-90,-37
45,-97,-80,-80
-92,-56,51,-56
87,-53,-22,-22
56,-14,7,7
92,52,-18,52
-83,-59,-61,-61
26,79,-20,26
26,-31,80,26
34,-19,-58,-19
-70,-25,29,-25
4,62,45,45
-93,76,-8,-8
-6,-47,23,-6
-63,-67,61,-63
60,96,67,67
-69,-83,30,-69
50,30,-97,30
-44,-32,-11,-32
59,-47,-77,-47
-22,40,6,6
-62,-47,13,-47
-69,76,-13,-13
31,29,-4,29
-38,-48,64,-38
-67,-69,-11,-67
35,54,52,52
57,-90,-96,-90
-95,-60,-66,-66
-41,-94,42,-41
95,44,52,52
-44,25,-4,-4
71,25,-22,25
3,-40,-76,-40
79,63,55,63
-15,1,61,1
-57,-14,18,-14
17,-70,76,17
-94,63,63,63
97,17,-13,17
-90,-10,-16,-16
54,-45,-31,-31
81,-77,-59,-59
-17,-58,94,-17
16,-87,-19,-19
45,88,-35,45
-83,-76,83,-76
-3,74,-12,-3
-79,31,3,3
67,-58,-7,-7
75,80,-69,75
-80,26,-44,-44
-51,73,6,6
-45,16,50,16
-79,-53,-27,-53
-67,-28,-72,-67
-38,49,24,24
-28,44,12,12
87,28,19,28
87,94,-28,87
-45,15,-31,-31
49,30,-72,30
98,-67,73,73
-83,45,77,45
-11,-34,26,-11
72,25,-73,25
21,-37,72,21
-82,-12,83,-12
37,70,-40,37
67,84,91,84
-16,99,-35,-16
-14,-34,-57,-34
-95,-95,52,-95
-21,-22,58,-21
-97,33,55,33
84,93,22,84
9,45,-23,9
63,-57,-58,-57
73,14,-91,14
18,32,83,32
-75,-64,-95,-75
7,95,93,93
-31,-81,28,-31
-77,-68,-15,-68
-39,-32,40,-32
-96,81,-10,-10
60,-2,75,60
-81,-9,-71,-71
-98,59,-10,-10
74,-17,-68,-17
77,100,-32,77
-15,-29,82,-15
9,78,-62,9
-88,97,6,6
-64,-65,-50,-64
28,-59,-86,-59
-86,50,-97,-86
57,68,68,68
-55,-97,93,-55
-85,73,-57,-57
55,33,-82,33
74,-82,-88,-82
-56,-96,9,-56
35,-72,34,34
-34,-89,41,-34
43,35,71,43
-79,-16,-32,-32
46,95,-31,46
10,-96,2,2
-12,7,85,7
73,-65,-40,-40
60,80,61,61
-90,-34,-12,-34
37,6,28,28
16,-88,54,16
-91,-20,-4,-20
9,50,76,50
22,-62,89,22
-96,-99,-100,-99
94,17,-56,17
-71,24,65,24
95,6,-47,6
-16,-41,64,-16
-37,87,73,73
-43,-52,98,-43
22,64,64,64
-61,9,57,9
-24,96,-29,-24
-50,67,-11,-11
92,-36,56,56
22,-30,-55,-30
18,34,82,34
-91,81,0,0
36,-86,-69,-69
-52,75,-24,-24
-41,67,-59,-41
-11,-89,-63,-63
-84,-49,-40,-49
41,86,34,41
-26,-26,-50,-26
21,17,18,18
37,-1,71,37
20,11,-91,11
-21,89,37,37
0,-61,-75,-61
-85,-30,78,-30
-29,-45,-17,-29
-52,36,32,32
84,-63,-76,-63
10,-22,74,10
-93,-49,-59,-59
-89,-13,25,-13
-72,-27,-58,-58
-89,37,39,37
-57,-30,83,-30
-13,65,3,3
81,29,4,29
94,-37,-42,-37
39,45,-26,39
93,-45,46,46
72,39,77,72
-1,90,-77,-1
71,5,96,71
-79,78,-9,-9
-48,-96,28,-48
31,-82,24,24
-71,73,17,17
8,55,1,8
26,55,62,55
36,-44,66,36
-8,63,12,12
83,-19,92,83
-3,92,-36,-3
-80,-58,-91,-80
-74,34,-58,-58
-33,-88,-9,-33
-42,-27,4,-27
96,-12,5,5
16,0,45,16
-94,91,-20,-20
-19,67,-49,-19
6,58,12,12
-73,52,-73,-73
61,61,40,61
-30,-78,-30,-30
44,44,25,44
-58,-69,-69,-69
-59,-59,-25,-59
57,57,88,57
-90,45,-90,-90
-38,-38,-29,-38
82,-27,-27,-27
38,38,-11,38
-10,-10,84,-10
19,18,18,18
66,66,-94,66
-67,-67,-6,-67
25,-2,-2,-2
-22,-91,-22,-22
-69,-7,-7,-7
-67,-2,-67,-67
72,87,87,87
75,10,75,75
-46,-20,-46,-46
39,-71,39,39
22,22,-4,22
75,22,22,22
21,-51,-51,-51
-10,-10,26,-10
38,-79,-79,-79
-39,17,17,17
46,46,48,46
-48,-94,-48,-48
-87,-87,24,-87
-53,22,22,22
-6,84,84,84
-82,6,-82,-82
45,42,45,45
89,89,51,89
-95,-95,10,-95
82,82,39,82
-12,-74,-74,-74
92,65,65,65
23,-98,-98,-98
82,82,47,82
96,-50,-50,-50
36,-35,36,36
75,75,-29,75
-75,-75,-76,-75
-45,-19,-45,-45
-55,-55,6,-55
9,70,9,9
-2,80,80,80
14,77,77,77
48,43,43,43
89,21,89,89
77,22,77,77
-89,-89,-19,-89
-6,10,-6,-6
-72,-56,-56,-56
-70,67,67,67
94,-66,-66,-66
-15,-53,-15,-15
-10,57,-10,-10
75,75,2,75
-85,-83,-83,-83
29,44,29,29
72,72,89,72
72,13,72,72
-99,-72,-72,-72
64,-61,-61,-61
98,-71,98,98
22,-94,-94,-94
80,47,47,47
1,-5,1,1
62,62,-20,62
38,-22,-22,-22
73,38,38,38
98,64,98,98
-95,-95,-64,-95
-56,38,38,38
-26,-26,-26,-26
8,100,100,100
9,-33,-33,-33
-60,-51,-51,-51
27,-98,-98,-98
20,87,87,87
-76,-46,-46,-46
54,-92,-92,-92
45,45,-75,45
24,-78,-78,-78
80,72,80,80
-4,92,92,92
68,68,66,68
79,-75,-75,-75
83,54,83,83
-88,-64,-64,-64
62,-80,62,62
-84,94,94,94
91,-62,-62,-62
8,8,62,8
-20,-100,-20,-20
-65,-65,-15,-65
-33,-97,-33,-33
47,-84,47,47
25,-84,-84,-84
-37,-37,-43,-37
-74,-100,-100,-100
-31,-40,-40,-40
-13,-7,-13,-13
46,-83,-83,-83
34,34,-46,34
5,5,38,5
79,-71,79,79
43,43,94,43
-33,-33,80,-33
-30,-84,-84,-84
-78,-89,-89,-89
42,86,42,42
-64,-54,-64,-64
34,-83,-83,-83
-85,-85,83,-85
47,47,-89,47
57,57,68,57
11,89,89,89
50,-98,50,50
26,38,26,26
-10,-74,-10,-10
-71,21,-71,-71
-29,-54,-29,-29
6,6,-79,6
-63,-74,-63,-63
-57,-95,-57,-57
-35,-68,-35,-35
-14,-14,26,-14
-7,-7,7,-7
9,9,90,9
-63,-63,-84,-63
26,94,94,94
91,91,23,91
26,61,26,26
69,-99,-99,-99
-70,-55,-55,-55
-76,-43,-43,-43
-52,-52,-26,-52
99,99,-8,99
-17,-17,-10,-17
-58,-58,-30,-58
71,-86,-86,-86
91,91,93,91
27,78,27,27
-18,97,-18,-18
72,63,63,63
-9,38,-9,-9
22,22,27,22
-94,100,100,100
73,44,44,44
22,22,81,22
-18,84,84,84
-57,-59,-59,-59
-94,4,4,4
-21,-21,86,-21
76,76,18,76
-83,-53,-83,-83
-77,-78,-77,-77
-19,17,-19,-19
-71,-91,-91,-91
-71,-71,37,-71
-78,-78,14,-78
-52,-17,-17,-17
-31,-66,-31,-31
-44,0,-44,-44
-15,-15,27,-15
71,71,-3,71
17,17,-68,17
60,28,60,60
71,6,71,71
-39,64,-39,-39
22,22,-29,22
16,-26,16,16
-26,82,-26,-26
-76,70,70,70
56,56,-43,56
95,54,54,54
-68,-68,65,-68
-23,12,-23,-23
25,4,4,4
-45,-55,-55,-55
44,-49,-49,-49
84,20,20,20
-79,-79,-20,-79
-86,-86,-26,-86
68,68,13,68
-80,-22,-22,-22
82,-47,82,82
-53,51,-53,-53
-80,-79,-80,-80
-100,8,8,8
-42,-42,1,-42
-88,-88,-52,-88
42,42,31,42
-87,-87,-54,-87
77,92,92,92
94,75,75,75
65,5,5,5
20,-93,-93,-93
-16,-16,-11,-16
-43,-73,-43,-43
35,60,60,60
85,41,85,85
0,-16,0,0
-61,29,29,29
-13,-18,-13,-13
-25,86,86,86
61,-28,61,61
-21,93,93,93
-92,-8,-8,-8
-77,50,50,50
24,-94,-94,-94
-19,100,100,100
68,68,-65,68
-90,44,-90,-90
-30,-39,-39,-39
-79,-86,-79,-79
-9,53,-9,-9
-96,18,18,18
19,19,-36,19
67,40,40,40
45,45,-47,45
32,32,-88,32
42,-49,42,42
-18,-18,-55,-18
-58,63,63,63
-35,-35,-91,-35
97,-52,-52,-52
80,98,80,80
-73,-35,-73,-73
-3,-3,53,-3
91,-58,-58,-58
88,88,74,88
-97,-66,-97,-97
-18,93,93,93
-39,-80,-39,-39
30,-58,30,30
-35,-60,-35,-35
65,57,57,57
-17,-19,-19,-19
-66,43,43,43
59,59,-39,59
4,40,40,40
-82,8,8,8
96,-66,96,96
-10,85,-10,-10
54,-1,-1,-1
72,72,-82,72
18,77,18,18
37,37,13,37
53,78,78,78
20,-65,20,20
100,100,-40,100
-80,-80,92,-80
77,88,77,77
29,-48,29,29
-89,91,-89,-89
96,-94,96,96
-9,67,-9,-9
-10,-68,-68,-68
-59,-59,81,-59
46,46,-23,46
-95,-95,-83,-95
-21,-71,-21,-21
83,-74,-74,-74
-82,-82,93,-82
41,-32,41,41
20,20,-86,20
-37,20,20,20
25,-31,25,25
77,22,22,22
54,-37,-37,-37
47,47,30,47
82,82,72,82
-4,-62,-62,-62
35,-27,35,35
-18,95,-18,-18
-70,-40,-70,-70
-8,-8,79,-8
8,-87,-87,-87
18,18,-52,18
-13,-13,70,-13
96,96,-64,96
-69,-69,-74,-69
-71,-71,-61,-71
67,-29,67,67
2,-5,-5,-5
-44,-55,-55,-55
-92,-27,-92,-92
98,-50,-50,-50
-27,-27,44,-27
-29,-80,-29,-29
-58,-58,-39,-58
95,93,95,95
-97,-97,95,-97
36,36,36,36
-91,-91,-91,-91
60,60,60,60
16,16,16,16
-8,-8,-8,-8
12,12,12,12
-100,-100,-100,-100
43,43,43,43
-46,-46,-46,-46
45,45,45,45
-80,-80,-80,-80
-70,-70,-70,-70
-21,-21,-21,-21
0,0,0,0
42,42,42,42
-24,-24,-24,-24
-32,-32,-32,-32
98,98,98,98
89,89,89,89
20,20,20,20
-15,-15,-15,-15
71,71,71,71
-90,-90,-90,-90
89,89,89,89
94,94,94,94
8,8,8,8
-45,-45,-45,-45
81,81,81,81
-80,-80,-80,-80
-26,-26,-26,-26
-19,-19,-19,-19
-7,-7,-7,-7
61,61,61,61
-31,-31,-31,-31
-25,-25,-25,-25
-47,-47,-47,-47
46,46,46,46
-24,-24,-24,-24
-38,-38,-38,-38
3,3,3,3
-92,-92,-92,-92
-46,-46,-46,-46
49,49,49,49
-21,-21,-21,-21
54,54,54,54
-10,-10,-10,-10
-69,-69,-69,-69
-33,-33,-33,-33
-3,-3,-3,-3
30,30,30,30
68,68,68,68
-60,-60,-60,-60
-57,-57,-57,-57
-20,-20,-20,-20
-58,-58,-58,-58
-62,-62,-62,-62
77,77,77,77
97,97,97,97
-17,-17,-17,-17
100,100,100,100
-99,-99,-99,-99
35,35,35,35
-51,-51,-51,-51
87,87,87,87
-27,-27,-27,-27
-34,-34,-34,-34
-30,-30,-30,-30
80,80,80,80
86,86,86,86
71,71,71,71
56,56,56,56
2,2,2,2
48,48,48,48
-45,-45,-45,-45
92,92,92,92
-73,-73,-73,-73
43,43,43,43
66,66,66,66
9,9,9,9
-61,-61,-61,-61
-96,-96,-96,-96
-57,-57,-57,-57
17,17,17,17
-45,-45,-45,-45
-23,-23,-23,-23
-22,-22,-22,-22
25,25,25,25
-62,-62,-62,-62
-74,-74,-74,-74
-88,-88,-88,-88
-85,-85,-85,-85
69,69,69,69
-88,-88,-88,-88
54,54,54,54
83,83,83,83
71,71,71,71
-76,-76,-76,-76
-10,-10,-10,-10
-75,-75,-75,-75
35,35,35,35
