train_input_1,train_input_2,train_output_1
[916 9 -519 -1 896 211 969 -426 -451 867 -621 413 496 257 -515 676 964 -480 735 352 -819 392 10 884 -890 726 365 -112 868 97 -873 -886 646 323 -555 -596 608 -891 375 -986 -123 -950 207 -996 992 -380 233 523 587 -558],[-333 -406 372 673 -63 -553 804 -817 54 777 672 -405 276 796 -610 638 -898 57 875 -737 606 650 997 816 126 -42 263 933 -833 -925 634 728 283 808 -681 875 -181 935 -888 -48 156 -556 -837 -347 424 239 46 -358 -491 -66],[583 -397 -147 672 833 -342 1773 -1243 -397 1644 51 8 772 1053 -1125 1314 66 -423 1610 -385 -213 1042 1007 1700 -764 684 628 821 35 -828 -239 -158 929 1131 -1236 279 427 44 -513 -1034 33 -1506 -630 -1343 1416 -141 279 165 96 -624]
[-27 -289 -274 -586 620 -408 303 402 -445 -637 -587 661 581 833 154 -939 -492 -833 143 -510 935 -453 -473 454 560 686 644 498 -949 39 327 594 -187 85 101 301 180 444 104 -355 625 288 279 374 -282 -174 -146 798 -67 -155],[-453 -912 388 -10 31 222 965 407 247 954 -485 -911 196 -351 -161 446 77 755 -547 651 348 869 210 -369 -918 -171 842 -942 -251 751 -208 130 627 735 734 486 -317 722 759 -294 -242 768 -848 687 -650 -330 -79 -518 207 242],[-480 -1201 114 -596 651 -186 1268 809 -198 317 -1072 -250 777 482 -7 -493 -415 -78 -404 141 1283 416 -263 85 -358 515 1486 -444 -1200 790 119 724 440 820 835 787 -137 1166 863 -649 383 1056 -569 1061 -932 -504 -225 280 140 87]
[-130 655 461 342 -248 -80 902 290 737 -957 -577 -94 -586 -900 -480 -294 698 -149 116 -936 -256 610 629 -572 918 -509 -503 727 527 -543 -591 886 -956 -258 -366 701 -375 -542 -69 -720 -497 -179 301 -279 -668 605 87 470 -31 269],[852 -453 -790 -230 94 310 472 134 -284 250 103 419 -110 -681 -678 -609 -352 -284 -920 763 984 -955 -447 978 -416 -408 -850 -145 518 962 875 921 -574 -864 -386 -191 312 650 994 49 -377 537 -701 458 -662 22 -672 705 -742 -629],[722 202 -329 112 -154 230 1374 424 453 -707 -474 325 -696 -1581 -1158 -903 346 -433 -804 -173 728 -345 182 406 502 -917 -1353 582 1045 419 284 1807 -1530 -1122 -752 510 -63 108 925 -671 -874 358 -400 179 -1330 627 -585 1175 -773 -360]
[463 -97 166 -190 358 -974 -399 806 771 -434 107 -128 -326 703 -114 521 -585 185 846 967 610 249 103 4 387 -512 -564 -135 -679 183 687 640 -410 -678 350 882 -942 -200 31 -699 -127 -19 -650 -701 254 608 485 402 -688 608],[-753 -636 294 193 -684 314 -242 612 -585 -716 -252 -226 -986 127 629 685 719 796 629 -262 -28 248 -936 -650 -51 -698 -341 528 -702 434 944 -39 61 -280 -311 588 942 -959 285 -116 383 860 288 -473 351 868 -423 -144 -673 837],[-290 -733 460 3 -326 -660 -641 1418 186 -1150 -145 -354 -1312 830 515 1206 134 981 1475 705 582 497 -833 -646 336 -1210 -905 393 -1381 617 1631 601 -349 -958 39 1470 0 -1159 316 -815 256 841 -362 -1174 605 1476 62 258 -1361 1445]
[565 -474 899 311 -478 -155 -264 -631 -854 -956 798 974 794 189 -950 -152 971 -614 786 -921 742 583 29 304 543 934 673 -587 24 133 401 -827 4 -921 -990 -924 -584 -755 380 897 398 981 594 -302 108 -34 513 -215 -688 -710],[-126 932 -446 -143 79 -478 761 -450 103 -456 -501 949 -17 809 -399 -236 -637 -498 594 758 -442 368 -298 391 -424 815 -664 409 488 -162 -186 -679 567 412 -396 760 379 -576 663 540 -572 914 -319 605 106 586 -831 -925 -389 403],[439 458 453 168 -399 -633 497 -1081 -751 -1412 297 1923 777 998 -1349 -388 334 -1112 1380 -163 300 951 -269 695 119 1749 9 -178 512 -29 215 -1506 571 -509 -1386 -164 -205 -1331 1043 1437 -174 1895 275 303 214 552 -318 -1140 -1077 -307]
[-168 -755 359 -467 -916 -482 205 27 -955 -768 -285 -824 375 -89 -630 776 -429 909 -507 583 64 -66 721 106 740 -199 410 457 -587 -565 -252 -246 335 -401 497 304 945 538 -455 -810 690 754 484 201 -966 -616 -103 717 -544 -151],[-292 -589 728 801 -930 859 -924 537 -818 -863 970 -994 372 685 492 -690 525 -29 92 156 245 967 -827 -133 123 119 583 -702 514 -552 638 -73 107 -912 7 -414 667 -434 -328 -863 298 700 -9 190 -197 -601 -914 716 743 -208],[-460 -1344 1087 334 -1846 377 -719 564 -1773 -1631 685 -1818 747 596 -138 86 96 880 -415 739 309 901 -106 -27 863 -80 993 -245 -73 -1117 386 -319 442 -1313 504 -110 1612 104 -783 -1673 988 1454 475 391 -1163 -1217 -1017 1433 199 -359]
[190 89 -661 713 -45 -555 -56 -360 -574 70 810 -787 -115 324 943 -4 603 272 -908 -927 484 876 -237 -240 158 129 186 -420 869 353 -222 -508 247 -247 789 811 813 -747 600 854 376 -118 741 -227 -94 151 -594 18 999 -215],[845 -250 -781 -170 -224 506 -548 -656 -201 -623 597 -909 81 -459 857 605 520 677 -48 288 656 -418 368 -98 612 -576 -811 696 260 -756 -422 -766 -470 -265 -710 -996 -987 754 -218 147 -133 -456 766 488 881 482 720 -651 -147 -107],[1035 -161 -1442 543 -269 -49 -604 -1016 -775 -553 1407 -1696 -34 -135 1800 601 1123 949 -956 -639 1140 458 131 -338 770 -447 -625 276 1129 -403 -644 -1274 -223 -512 79 -185 -174 7 382 1001 243 -574 1507 261 787 633 126 -633 852 -322]
[-133 -698 500 -189 -338 -782 -718 663 809 -810 -136 -808 302 405 396 -865 -542 -86 659 734 -826 -805 -850 372 33 -85 480 -422 -222 -742 542 -339 -673 -348 329 115 419 -373 91 -726 -563 -720 -54 439 -160 80 634 69 903 -703],[680 -190 594 46 -499 -871 653 132 694 -598 428 340 -4 287 899 -132 -302 865 -146 -510 131 -374 -471 557 556 336 -404 508 912 -466 -265 -7 -834 -88 -28 61 -160 957 -715 -802 625 -250 -880 746 540 531 367 -784 48 530],[547 -888 1094 -143 -837 -1653 -65 795 1503 -1408 292 -468 298 692 1295 -997 -844 779 513 224 -695 -1179 -1321 929 589 251 76 86 690 -1208 277 -346 -1507 -436 301 176 259 584 -624 -1528 62 -970 -934 1185 380 611 1001 -715 951 -173]
[-109 -555 698 595 -301 -808 451 -576 125 27 -986 -826 706 -536 451 -225 -446 433 -420 -70 -743 -985 153 -857 806 -467 772 -529 113 -552 -369 -393 952 -850 346 -787 6 916 543 -217],[673 -777 -848 -835 148 834 -473 -7 -68 -850 -493 655 -550 -714 167 470 720 409 707 -345 -489 327 265 873 232 -527 955 578 758 613 721 -872 -553 503 -199 540 -132 450 382 11],[564 -1332 -150 -240 -153 26 -22 -583 57 -823 -1479 -171 156 -1250 618 245 274 842 287 -415 -1232 -658 418 16 1038 -994 1727 49 871 61 352 -1265 399 -347 147 -247 -126 1366 925 -206]
[-847 914 -632 371],[917 -405 -781 693],[70 509 -1413 1064]
[-703],[450],[-253]
[-590 371 74 421 -630 421 777 963 466 785 -678 -67 -714 270 -253 -558 915 -970 -772 -827 311 691 926 190 -37 479 420 480 699 -61 668 316 -899 7 -513 422 960 -773 381 -611 931 -22 -858 475],[400 275 769 -971 -636 -185 104 147 730 -717 -948 557 -305 -971 -71 484 584 961 -443 170 -716 178 318 -270 878 151 108 -357 906 371 495 -10 854 418 746 500 279 -100 -693 961 675 -525 -828 -720],[-190 646 843 -550 -1266 236 881 1110 1196 68 -1626 490 -1019 -701 -324 -74 1499 -9 -1215 -657 -405 869 1244 -80 841 630 528 123 1605 310 1163 306 -45 425 233 922 1239 -873 -312 350 1606 -547 -1686 -245]
[-454 106 -161 918 701 -796 -564 122 -147 -865 221 -908 -377 684 867 -605 -675 -608 607 610 -846 -793 -513 -539 829 836 728 -953 961 258],[341 -11 -838 -695 695 -610 -758 14 -340 -714 451 218 -116 218 400 -118 365 -943 907 284 -417 -304 167 -523 22 -960 314 340 755 -406],[-113 95 -999 223 1396 -1406 -1322 136 -487 -1579 672 -690 -493 902 1267 -723 -310 -1551 1514 894 -1263 -1097 -346 -1062 851 -124 1042 -613 1716 -148]
[-617 227 -397 -736 459 -507 206 949 324 -352 -271 740 170 185 59 -571],[-236 81 -99 843 956 792 -912 -873 992 962 102 906 333 434 -562 691],[-853 308 -496 107 1415 285 -706 76 1316 610 -169 1646 503 619 -503 120]
[952 -714 587 -302 669 -7 -574 880 -582 -549 -371 -218 -385 411 -956 -458 114 189 -472 534 -951 -275 -30 -412 351 118 877 587 -481 916 -253 603 -829 -434 351 956 1 -465 -703],[-563 260 -421 -164 -50 -702 690 -447 -458 -138 -933 575 -149 39 -48 -780 499 687 -242 194 958 605 -67 679 -574 188 927 186 -279 -705 -753 -488 676 80 884 329 -279 -334 -884],[389 -454 166 -466 619 -709 116 433 -1040 -687 -1304 357 -534 450 -1004 -1238 613 876 -714 728 7 330 -97 267 -223 306 1804 773 -760 211 -1006 115 -153 -354 1235 1285 -278 -799 -1587]
[-780 858 -277 -583 705 -745 -467 282 -949 -562 -133 297 316 418 759 -965 -556 -591 455 287 544 -634 924 789 -207 -56 853 -580 840 771 952 897 940 590 -847 -99 -995 -990],[773 889 -111 -418 -855 -409 -559 -221 668 -946 -598 -878 391 -54 -740 -535 -360 624 -591 -67 726 -27 -911 548 93 -146 -171 889 908 483 388 26 -246 515 -1000 -369 869 -778],[-7 1747 -388 -1001 -150 -1154 -1026 61 -281 -1508 -731 -581 707 364 19 -1500 -916 33 -136 220 1270 -661 13 1337 -114 -202 682 309 1748 1254 1340 923 694 1105 -1847 -468 -126 -1768]
[-310 -104 -854 561 955 -416 532 -160 127 -697],[-943 -749 -262 435 590 809 26 -308 -207 41],[-1253 -853 -1116 996 1545 393 558 -468 -80 -656]
[455 -699 -63 406 465 728],[24 -1000 -557 555 -126 -342],[479 -1699 -620 961 339 386]
[523 -368 530 411 -955 196 902 -780 -851 518 338 -41 30 640 506 -739 -414 -900 -94 -930 -464 379 -134 593 163 511 192 -450 -413 -256 808 308 650 -53 931 -74 -741 157 393 536 -681 314 880 -986 265 -893 -740 -760 272],[-228 -613 -998 -824 825 448 671 6 877 -775 -444 423 634 338 -635 -168 98 583 -852 313 -34 -824 -299 154 343 -33 720 101 572 -388 -840 -839 229 -620 -821 -913 -476 -608 -474 -581 -901 -465 422 -554 -417 -109 784 -722 171],[295 -981 -468 -413 -130 644 1573 -774 26 -257 -106 382 664 978 -129 -907 -316 -317 -946 -617 -498 -445 -433 747 506 478 912 -349 159 -644 -32 -531 879 -673 110 -987 -1217 -451 -81 -45 -1582 -151 1302 -1540 -152 -1002 44 -1482 443]
[-87 895 934 -295 248 436 -103 -524 -185 561 310 879 -723 275 632 743 851 -283 977 48 216 -739 -551],[124 -464 -782 143 590 -817 -577 -127 -826 -140 -236 179 -468 495 513 -472 568 426 -739 -891 -179 -432 -135],[37 431 152 -152 838 -381 -680 -651 -1011 421 74 1058 -1191 770 1145 271 1419 143 238 -843 37 -1171 -686]
[394 883 -806 -302 -842 -176 856 725 963 39 202 -410 -906 252 -35 690 469 760 745 200 -926 200 234 -962 -441 -971 -773 -353],[836 427 471 -414 436 -122 -819 347 -491 -726 837 -579 -33 410 -254 -311 -336 -828 -97 405 837 -362 517 953 240 -838 -899 -751],[1230 1310 -335 -716 -406 -298 37 1072 472 -687 1039 -989 -939 662 -289 379 133 -68 648 605 -89 -162 751 -9 -201 -1809 -1672 -1104]
[-803 -190 -298 531 -606 -165 527 562],[170 581 518 86 811 -958 -712 125],[-633 391 220 617 205 -1123 -185 687]
[-878 651 -974 839 -691 970 424 371 426 -551 -157 116 -996 102 -796 -903 -632 -825 -938 459 -81 -647 -385 -467 753 551 919 -520 256 499 861 380 -382 186 -540 -758 -434 -604 280 65 430 -361 -134 662],[711 -148 262 103 -376 814 -815 -362 -991 887 220 -133 151 673 79 727 -776 969 -459 -291 444 -677 242 629 185 -433 227 -329 -955 -214 946 -727 -165 -60 -536 -289 -235 541 -841 665 -331 748 -773 67],[-167 503 -712 942 -1067 1784 -391 9 -565 336 63 -17 -845 775 -717 -176 -1408 144 -1397 168 363 -1324 -143 162 938 118 1146 -849 -699 285 1807 -347 -547 126 -1076 -1047 -669 -63 -561 730 99 387 -907 729]
[-392 68 434 197 -44 570 -802 -979 -238 651 -166 -556],[-708 92 296 126 -60 -604 129 -318 966 -143 692 11],[-1100 160 730 323 -104 -34 -673 -1297 728 508 526 -545]
[-168 290 705 165 782 -601 455 -595 335],[-691 -500 721 -283 -760 221 197 -672 171],[-859 -210 1426 -118 22 -380 652 -1267 506]
[44 -81 179 -592 -446 -564 -657 883 761 -507 754 699 603 243 -950 -591 739 -779 843 254 -266 -591 368 428 766],[277 -618 -257 643 -583 -619 713 -273 620 931 -803 524 -818 246 -740 26 -346 901 171 -439 726 726 248 849 -81],[321 -699 -78 51 -1029 -1183 56 610 1381 424 -49 1223 -215 489 -1690 -565 393 122 1014 -185 460 135 616 1277 685]
[-471 -937 62 -338 54 942 0 -891 -443 -55 -828 914 11 -79 95 -234 -27 -950 -147 736 -857 508 -622 -149 840 -583 -572 388 -592 -205 -53 -766 541 -24 -813 -790 -322 128 524 -868 -512 -44 794 164 -172 346 209 319],[774 -637 726 119 -430 957 -250 -634 501 17 999 265 655 -404 -405 -416 910 257 -410 729 553 981 926 370 -13 -214 946 922 825 493 354 -525 -600 494 -242 -648 845 70 -861 -790 63 -704 19 849 -718 948 -971 -960],[303 -1574 788 -219 -376 1899 -250 -1525 58 -38 171 1179 666 -483 -310 -650 883 -693 -557 1465 -304 1489 304 221 827 -797 374 1310 233 288 301 -1291 -59 470 -1055 -1438 523 198 -337 -1658 -449 -748 813 1013 -890 1294 -762 -641]
[-331 513 -869 779 172 193 768 -310 -388 -487 -106 -589 246 -134 -560 283 458 -705 555 -475 784 210 784 946 745 -731 -193 928 -494 -642 -77 705 732 734 594 -286 349 286 34 614 -110 -413],[765 404 558 -524 -174 613 -501 -567 144 884 207 -107 -939 457 471 750 831 702 351 -473 -277 -10 292 -283 614 656 -526 -119 -900 156 -767 800 787 817 -426 512 527 -305 -604 40 810 -429],[434 917 -311 255 -2 806 267 -877 -244 397 101 -696 -693 323 -89 1033 1289 -3 906 -948 507 200 1076 663 1359 -75 -719 809 -1394 -486 -844 1505 1519 1551 168 226 876 -19 -570 654 700 -842]
[212],[-352],[-140]
[-698 192 273 70 974 35 617 164 -908 467 857 -73 115 -181 -264 43 -512 786 -215 -186 -550 -231 179 -321 -162 -699 -252],[-907 -234 981 -73 -536 -190 765 601 494 -655 717 712 3 148 649 -663 689 322 566 -468 -567 -541 -239 -299 671 -23 -931],[-1605 -42 1254 -3 438 -155 1382 765 -414 -188 1574 639 118 -33 385 -620 177 1108 351 -654 -1117 -772 -60 -620 509 -722 -1183]
[392 -916 -839 -909 603 405 -429 629 94 814 958 -108 -507 732 -643 264 -702 -220 296 -622 -407 -868 495 597 510 -831 -93 -791 471 -444 -879 -832 -231 -533],[-490 384 35 275 -108 -923 335 -516 750 1000 -532 -863 353 -368 356 554 -870 -760 -68 -771 410 533 460 -339 80 660 460 753 -824 205 -41 -588 -966 -563],[-98 -532 -804 -634 495 -518 -94 113 844 1814 426 -971 -154 364 -287 818 -1572 -980 228 -1393 3 -335 955 258 590 -171 367 -38 -353 -239 -920 -1420 -1197 -1096]
[-224 879 413 -503 38 405 -780 -403 -501 -675 -37 13 235 466 534 976 200 869 217 -61 3 -10 306 -747 776 -762 -497 354 951 368 -731 -417 -626 -44 466 51 -427 -434 531 290 -145 -662 67 525 187 -846],[-260 -195 305 -235 -809 595 -625 -490 -908 943 958 490 -149 948 651 -963 524 86 -819 37 -255 962 514 292 531 -396 903 171 249 -164 893 -311 -147 873 -46 705 94 620 382 -565 719 -211 -167 -618 -830 -269],[-484 684 718 -738 -771 1000 -1405 -893 -1409 268 921 503 86 1414 1185 13 724 955 -602 -24 -252 952 820 -455 1307 -1158 406 525 1200 204 162 -728 -773 829 420 756 -333 186 913 -275 574 -873 -100 -93 -643 -1115]
[-642 182 -506 639 380 -47 -999 -267 174 851 864 3 -569 -556 734 48 -327 15 746 562],[-801 915 -181 769 18 -631 -144 -990 -938 -921 447 -549 341 887 671 -24 -600 -609 -915 748],[-1443 1097 -687 1408 398 -678 -1143 -1257 -764 -70 1311 -546 -228 331 1405 24 -927 -594 -169 1310]
[491 481 120 -624 414 712 884 -991 164 -544 33 991 -819 484 -751 332 291 556],[-266 696 -524 -326 -442 796 985 120 670 -406 -645 122 -310 -519 -483 316 975 -640],[225 1177 -404 -950 -28 1508 1869 -871 834 -950 -612 1113 -1129 -35 -1234 648 1266 -84]
[499 -735 -217 120 -526 49 -54 -473 -229 -29 945 -638 -444 911 -571 -529 67 581 193 301 -272 996 -925 60 536 -982 -825 -547 670 -855 652 -214 628 -963 972 -987 -483 -246 344 -150 122],[-930 -607 -270 -822 64 -611 -323 -841 740 525 414 -265 -76 533 11 681 -762 158 260 -398 -505 650 -896 670 375 973 487 419 -62 45 865 731 554 135 543 156 -712 -243 -278 -149 -534],[-431 -1342 -487 -702 -462 -562 -377 -1314 511 496 1359 -903 -520 1444 -560 152 -695 739 453 -97 -777 1646 -1821 730 911 -9 -338 -128 608 -810 1517 517 1182 -828 1515 -831 -1195 -489 66 -299 -412]
[428 -525 564 -717 -858 892 123 -331 -206 -4 -682 -725 713 -373 -529 -393],[690 291 267 -411 234 395 933 -518 -784 423 -314 751 -198 258 -332 778],[1118 -234 831 -1128 -624 1287 1056 -849 -990 419 -996 26 515 -115 -861 385]
[-858 -970 955 -621 657 -486 -957 -378 50 472 -611 -739 -805 -757 -35 705 411 -777 220],[320 86 732 -99 438 613 -944 -842 995 -760 -171 -256 -583 219 453 13 -362 -113 954],[-538 -884 1687 -720 1095 127 -1901 -1220 1045 -288 -782 -995 -1388 -538 418 718 49 -890 1174]
[425 409 695 76 613 -903 35 -295 -905 -289 -437 -189 76 -1 968 437 56 -748 473 -466 -818 852 -582 998 -941 -430 606 -482 268 -271 441 -272 -894 288 -671 -45 -681 159],[905 862 19 685 -645 376 -566 328 -593 468 -70 209 360 -827 -703 4 563 -824 -433 223 900 -295 -988 -954 253 -572 -976 -448 -197 224 187 -320 905 467 -117 345 -356 -942],[1330 1271 714 761 -32 -527 -531 33 -1498 179 -507 20 436 -828 265 441 619 -1572 40 -243 82 557 -1570 44 -688 -1002 -370 -930 71 -47 628 -592 11 755 -788 300 -1037 -783]
[-142 -653 941 527 507 -774 -136 929 -252 581 802 -395 -848 799 443 -8],[-451 558 417 -59 -870 292 -228 -884 104 929 535 12 -765 -951 470 -895],[-593 -95 1358 468 -363 -482 -364 45 -148 1510 1337 -383 -1613 -152 913 -903]
[-958 -846 -601 -258 -771 750 504 422 -317 580 30 -56 232 -110 -899 149 -143 333 -459 -385 907 -22 251 664 689 -2 -570 191 962 287 944 578 -92 568 297 291 857 633 360 -485 -922 -415 183 -398 340 337 164 -263],[570 395 -668 179 848 -398 -479 297 -192 -898 -134 -641 366 436 -372 -83 -423 835 355 900 413 56 630 761 -875 308 133 446 213 232 655 748 -119 -272 552 798 977 481 272 -885 -637 -916 650 300 364 -58 1 65],[-388 -451 -1269 -79 77 352 25 719 -509 -318 -104 -697 598 326 -1271 66 -566 1168 -104 515 1320 34 881 1425 -186 306 -437 637 1175 519 1599 1326 -211 296 849 1089 1834 1114 632 -1370 -1559 -1331 833 -98 704 279 165 -198]
[424 -284 -696 -28 -723 689],[808 -85 260 -132 -296 404],[1232 -369 -436 -160 -1019 1093]
[-493 -410 -263 0 455 356 -982 -32 395 929 -449 550 271 -971 -583 -817 683 746 -351 -108 -991],[442 -83 461 508 -644 -552 -905 427 -681 665 598 -648 -809 -353 673 638 488 -490 -39 872 -160],[-51 -493 198 508 -189 -196 -1887 395 -286 1594 149 -98 -538 -1324 90 -179 1171 256 -390 764 -1151]
[448 -817 120 -568 -204 -338 640 -273 865 134 578 -725 -250 20 -238 -229 -592 -456 96 443 -374 650 -474 427],[-127 592 -924 159 663 725 -948 628 420 -752 -904 -119 -698 -965 -350 -489 -326 -861 138 624 465 403 -463 -146],[321 -225 -804 -409 459 387 -308 355 1285 -618 -326 -844 -948 -945 -588 -718 -918 -1317 234 1067 91 1053 -937 281]
[-104 529 497 206 447 -633 -140 -538 -250 -274 953 -596 476 -57 -454 -29 211 -337 -799 -137 -540 -119 -734 26 -935 -200],[-741 841 -189 662 856 -850 973 -255 611 65 390 19 -499 -743 562 -889 -991 840 248 14 889 560 -508 -561 -633 -278],[-845 1370 308 868 1303 -1483 833 -793 361 -209 1343 -577 -23 -800 108 -918 -780 503 -551 -123 349 441 -1242 -535 -1568 -478]
[331 798 -330 219 -495],[936 668 -759 -419 574],[1267 1466 -1089 -200 79]
[-3 669 -243 -620 674 -170 311 794 -187 -162 -269 203 -745 16 -534 964 319 308 608 -981 225 -367 -40 533],[-257 -170 730 -193 -697 767 730 726 694 -28 -85 842 -522 31 -579 692 540 -801 -959 182 819 377 632 457],[-260 499 487 -813 -23 597 1041 1520 507 -190 -354 1045 -1267 47 -1113 1656 859 -493 -351 -799 1044 10 592 990]
[-721 -265 -147 -869 -377 3 -918 -498 962 -162 490 -216 -19 323 -642 209 261 327 -98 -994 -4 -492 653 -481 -332 -980 168 118 591 -91 589 189 854 429 24 876 951],[593 -959 610 -640 -511 -58 -776 654 -838 696 553 -518 540 5 -774 -375 858 -687 -637 590 634 678 801 133 68 998 876 778 -231 -75 -219 637 -753 -554 -405 -426 335],[-128 -1224 463 -1509 -888 -55 -1694 156 124 534 1043 -734 521 328 -1416 -166 1119 -360 -735 -404 630 186 1454 -348 -264 18 1044 896 360 -166 370 826 101 -125 -381 450 1286]
[-704 -481 353 244 -34 558 -349 440 10 -848 257 481 171 -793 -792 611 89 772 -687 -629 -315 203 65 914 38 -556 -257 -948],[316 422 84 963 -134 -183 58 -17 -73 255 558 513 62 -604 -755 117 687 -32 525 -780 -348 190 -386 -749 -216 -100 -835 351],[-388 -59 437 1207 -168 375 -291 423 -63 -593 815 994 233 -1397 -1547 728 776 740 -162 -1409 -663 393 -321 165 -178 -656 -1092 -597]
[-362 -799 534 869 -799 -508 531],[615 -259 -651 808 751 -163 199],[253 -1058 -117 1677 -48 -671 730]
[265 -563 -589 -277 355 -164 -775 478 303 -541 582 -271 670 -18 935 -750 289 -989 -106 348 -6 -391 380 242 -866 12 872 387 365 937 576 891 -197 300 -57 -207 853 -102 -136 -951 -444 22 806 -338 -220 -982 893 -60],[717 -706 -484 -694 -400 -89 -673 -818 -855 38 710 344 -77 997 203 -796 272 289 448 -558 -327 731 234 -17 -65 544 979 913 637 440 -870 79 996 -720 400 -537 802 -302 302 433 955 303 -26 -250 -521 161 -102 300],[982 -1269 -1073 -971 -45 -253 -1448 -340 -552 -503 1292 73 593 979 1138 -1546 561 -700 342 -210 -333 340 614 225 -931 556 1851 1300 1002 1377 -294 970 799 -420 343 -744 1655 -404 166 -518 511 325 780 -588 -741 -821 791 240]
[536 681 -338 926 -802 -651 245 -116 -953 -861 -598 -103 775 -953 943 713 769 972 818],[935 241 518 -440 486 -434 669 -272 485 -48 -553 275 548 -20 -893 537 -688 -342 -54],[1471 922 180 486 -316 -1085 914 -388 -468 -909 -1151 172 1323 -973 50 1250 81 630 764]
[763 465 826 779 518 67 -852 -620 217 792 824 125 766 -354 -355 -746 -791 734 -476 -750 -305 719 -54 859 623 809 827 -145 -662 -512 -390],[-500 929 384 -676 553 689 -987 -4 704 -353 867 -206 -274 -424 722 956 -719 -237 658 342 -186 -326 1 563 -509 971 -704 753 129 773 596],[263 1394 1210 103 1071 756 -1839 -624 921 439 1691 -81 492 -778 367 210 -1510 497 182 -408 -491 393 -53 1422 114 1780 123 608 -533 261 206]
[279 529 842 -49 391 1 500 -444 152 556 552 452 955 873 -129 -421 -339 482 381 717 -669 -406 104 535 -516 -655 -218 -718 -322 267 -328 -894 726 53 124 -216],[680 283 981 799 -736 -418 679 -753 864 -247 -422 -424 503 256 857 855 213 -481 573 483 596 98 950 999 564 765 -15 -316 -26 279 595 -831 -770 -118 -643 158],[959 812 1823 750 -345 -417 1179 -1197 1016 309 130 28 1458 1129 728 434 -126 1 954 1200 -73 -308 1054 1534 48 110 -233 -1034 -348 546 267 -1725 -44 -65 -519 -58]
[500 437 636 895 16 594 353 -476 101 -202 982 231 -344 -541 -819 -543 649 -1000 305 -82 -277 379 197 48 414 -577 -194 -420 836 -75 -660],[453 979 -499 -375 -702 -863 -72 -766 -894 -945 882 618 23 -907 -310 -590 218 846 40 -807 -539 -396 684 370 -892 739 -874 -56 571 -952 -742],[953 1416 137 520 -686 -269 281 -1242 -793 -1147 1864 849 -321 -1448 -1129 -1133 867 -154 345 -889 -816 -17 881 418 -478 162 -1068 -476 1407 -1027 -1402]
[-599 159 641 -24 145 -782 334 -192],[-306 331 72 -431 245 -282 902 605],[-905 490 713 -455 390 -1064 1236 413]
[-481 446 -267 -920 -633 783 -417 -144 -559 770 821 -267 -417 72 418 -174 -156 50 -280 793 27],[33 427 965 -419 -120 -111 280 959 -281 -289 -202 -301 913 482 -67 679 95 -682 -772 639 -773],[-448 873 698 -1339 -753 672 -137 815 -840 481 619 -568 496 554 351 505 -61 -632 -1052 1432 -746]
[-69 -161 105 -925 127 -170 178 -790 -84 -438 590 -159 671 301 938 649 -976 599 361 813],[-507 -63 -195 -853 -849 -182 703 -842 795 795 -923 981 58 957 891 211 -353 840 -187 -846],[-576 -224 -90 -1778 -722 -352 881 -1632 711 357 -333 822 729 1258 1829 860 -1329 1439 174 -33]
