train,
8930,48
4719,104
9453,61
9980,74
5549,68
2574,147
7880,27
3411,137
6909,58
15,18
8271,97
7604,32
6069,63
6445,24
9998,92
9366,61
820,29
3553,57
828,91
4178,65
2821,36
949,37
6365,107
2166,139
1979,144
2090,33
9730,48
449,116
3480,31
3565,49
7750,53
6469,50
847,34
9785,198
5511,130
9319,92
8598,66
2535,85
735,47
7753,146
674,114
5544,37
2331,108
5463,117
2302,59
6712,89
231,128
4559,153
8315,203
9568,123
2732,41
6366,63
700,83
2673,116
490,23
4805,60
440,116
4561,60
1805,56
8894,185
4601,60
4983,104
7196,71
2588,41
5772,50
6698,45
8105,71
3730,70
735,47
7492,89
7992,53
9202,61
9825,48
997,50
195,120
8383,159
1712,105
7535,89
8507,79
5109,60
4185,39
440,116
4985,117
3849,132
5627,60
8723,141
9412,35
5466,42
3414,150
7253,19
4250,127
6350,200
6900,45
6320,81
6618,45
1051,94
7207,71
9186,110
2654,54
6021,42
9651,61
5023,91
7283,120
9984,43
4369,47
4253,78
9915,48
6932,32
6962,58
1614,74
2833,129
3653,132
5177,55
4797,73
1259,84
9438,105
6945,45
2726,67
5493,130
6134,63
4135,96
2310,33
534,23
8989,79
9578,123
1258,40
4465,47
8209,40
5130,55
2429,46
1871,131
2808,85
5259,104
714,34
4143,65
7207,71
1568,30
1297,102
5135,148
8870,79
1836,131
3505,57
1042,125
55,113
2889,142
8619,141
1111,32
8825,141
7163,58
6834,58
5897,81
6020,42
3552,75
9750,123
560,18
5531,42
6846,151
4163,65
8557,79
5087,179
5671,81
6923,89
2858,36
3843,145
769,34
704,21
2397,121
2986,23
553,137
4049,65
8039,190
3020,67
5371,130
9421,35
8389,66
2182,46
6667,182
670,70
9887,242
3049,124
1259,84
3867,83
8894,185
4602,47
4465,47
5975,50
3168,31
9475,61
2537,134
5835,81
3753,163
1076,32
3484,181
611,39
3365,44
1343,97
2468,134
66,28
9605,167
5802,24
5648,130
9889,123
8792,35
704,21
2126,77
773,122
6303,156
3958,145
9376,123
7073,102
6141,63
1340,71
2901,23
1050,32
1110,32
9249,185
1786,74
4514,39
8454,84
4283,127
590,57
7724,146
1562,123
9885,136
8086,27
6698,45
8722,141
4702,60
4697,109
11,15
7378,102
7519,89
1028,125
640,13
9464,92
3253,44
8770,141
5653,130
6880,107
4008,114
6348,81
1369,40
2996,49
4201,65
5680,37
9818,136
7841,53
4679,47
7215,71
8827,123
5586,112
7174,120
2837,36
7392,133
6912,120
6825,120
6689,45
3700,132
5499,68
2437,134
9811,167
6819,138
5325,55
7843,53
6643,107
4432,21
617,132
867,29
4266,34
5266,42
9880,136
5092,34
4563,153
3882,101
108,114
8572,172
9116,154
8379,159
844,42
428,103
7968,53
2574,147
5548,68
2384,28
6159,156
3870,145
462,129
5769,174
5845,99
7241,102
9871,198
6953,89
2267,90
6142,156
2482,41
9561,79
5363,47
9791,74
1062,125
1154,32
7535,89
8367,159
4322,34
2053,38
6489,50
5047,135
5873,99
5377,73
610,39
7773,40
4095,158
395,77
3185,31
350,82
5505,192
6749,45
2043,157
1659,43
233,84
901,55
7046,107
4053,114
1222,40
5588,37
7419,71
8921,141
7300,45
2447,134
7809,146
1169,58
4239,83
9106,154
1287,146
5512,130
82,111
1468,48
202,27
698,34
931,37
2863,80
993,94
8449,58
826,91
4197,65
838,42
9761,48
6703,94
821,29
590,57
9558,79
4241,109
7396,71
3956,52
8951,141
381,108
1731,149
2222,33
8823,48
6452,24
9021,141
9553,105
4168,127
1484,48
4451,140
993,94
9065,123
7522,40
44,17
9166,92
8769,141
8558,79
5132,55
3757,88
6474,50
2296,46
2845,67
4974,73
9113,61
2984,23
7600,32
5603,37
2103,95
9901,74
4098,158
3286,75
1840,38
7042,107
6087,156
321,25
5232,148
4725,60
5396,117
3543,57
7378,102
1598,74
7521,45
9762,136
9043,185
5020,91
4506,47
2192,95
7989,53
3927,83
3715,39
1375,40
8745,53
6358,81
8988,79
2039,64
7418,120
4023,44
1534,61
1590,105
1758,149
4130,127
1368,128
3658,132
9808,43
3099,137
494,49
4347,184
2580,103
4716,60
324,25
5935,99
1249,177
3931,83
6588,138
7329,102
1009,112
3193,36
1617,48
7990,84
1746,149
2513,134
4452,140
283,61
6968,182
8091,190
6261,125
7443,71
6430,169
1560,123
4120,127
8192,14
5231,130
5343,47
4658,153
3199,168
1883,87
2379,77
7994,53
5093,34
2968,49
2985,142
2844,67
6333,169
8531,172
7729,146
1133,63
9619,48
7367,120
2996,49
4750,166
6062,143
6279,107
2455,134
9835,167
8195,115
6661,182
1285,27
2149,25
176,19
3855,52
6800,63
748,47
7652,84
4303,109
7614,133
2207,170
6048,112
3892,101
9030,40
8349,115
1234,133
4887,47
4536,65
656,114
3697,39
5744,55
5919,174
3910,101
5366,73
705,34
3322,137
9060,66
7318,133
5621,86
3640,44
6684,45
9886,136
39,35
9461,61
7395,40
7552,40
7102,89
1797,118
6955,151
6119,63
4317,52
9032,40
2007,43
630,39
2288,108
9780,43
533,31
8954,92
5222,55
4992,42
1017,156
1311,102
6022,42
3029,111
6788,37
1889,82
4244,127
4911,122
1092,32
920,37
657,52
581,119
5655,112
289,30
3911,83
2982,93
36,22
6712,89
7127,164
7273,133
8201,115
9112,61
4794,122
4708,34
6715,138
8886,97
503,67
2341,59
7237,58
6918,107
115,34
8730,48
3627,57
1858,131
5551,68
3643,163
8779,141
8809,79
3067,62
2450,134
6629,76
4677,60
7296,40
7191,71
4597,47
7450,40
8748,79
4122,127
7335,76
5256,55
3934,101
3107,124
4002,52
9587,74
9044,22
7760,102
6695,45
7390,208
1757,56
4997,179
5232,148
8425,203
1448,22
8437,84
1949,144
3652,132
1304,27
6177,112
6871,151
4045,65
1322,115
9224,154
8300,97
477,36
333,113
2863,80
3940,26
249,48
9422,61
9686,167
7437,133
4412,47
7262,102
6178,37
8455,203
7681,177
801,60
3813,31
6966,89
8359,141
9457,61
2661,54
9852,211
4299,65
8304,66
426,15
3104,124
1859,131
8681,79
9900,74
2633,41
3618,57
2418,59
4925,73
8749,79
9288,185
3619,57
2663,85
9589,123
5904,24
9189,61
341,12
5130,55
7984,53
2757,129
7773,40
4678,60
5645,37
4885,42
855,55
2573,28
3521,106
3993,52
236,35
1895,175
5137,55
6788,37
357,33
1179,58
2453,41
8058,97
1995,51
9019,40
3663,70
3202,62
7484,133
9575,198
1470,48
3721,70
2837,36
1672,43
8461,84
3113,93
8576,35
5853,143
5100,86
6909,58
7785,221
9600,22
576,26
4810,60
7497,63
2735,160
504,111
4687,153
9698,22
2187,77
3259,49
8454,84
3446,57
8863,79
8440,172
2290,152
4293,26
8338,159
1584,30
4342,52
6562,76
2686,98
5203,179
7156,102
9292,185
6925,151
3592,119
7203,120
1155,32
290,118
7147,102
8751,53
4859,122
2770,67
8541,66
7118,50
659,52
9689,74
3371,75
1796,118
1135,63
1299,146
2680,72
2128,33
2464,28
1575,61
3937,127
9390,110
8784,97
2655,54
1634,43
7479,115
1079,50
8231,53
6555,50
9815,136
9728,30
4549,21
2800,85
586,119
1150,45
6046,94
6227,94
7966,53
1080,45
8974,48
3081,155
1216,27
8879,172
3810,39
9492,79
7555,133
9787,198
6755,37
3644,44
1714,30
2712,54
9608,61
416,15
2630,54
1580,79
1436,53
3468,31
4879,135
9850,74
7430,40
6542,138
2856,36
7809,146
5610,86
5345,161
2323,183
5872,50
7081,102
7970,53
5948,99
7230,71
7690,53
9650,61
921,130
3879,145
2111,170
6558,107
9578,123
8254,172
6707,45
547,31
7594,40
6265,86
8005,53
8329,190
662,26
5503,174
8235,115
6471,169
3056,49
4904,42
7190,71
8283,97
6509,76
6072,63
7249,71
8288,128
9941,92
9442,123
578,31
554,18
8067,71
4263,127
9840,74
2227,139
7959,97
4132,158
6883,107
6116,63
6099,125
1105,94
946,37
6478,125
2726,67
4152,65
4391,171
992,112
6154,37
14,18
3162,80
3118,62
3062,62
2781,129
8236,40
172,32
4448,47
7967,97
2919,217
3056,49
144,24
6135,63
1298,146
6893,58
7888,53
7354,133
369,20
4621,34
5856,99
6453,24
5191,73
4792,122
1923,51
7054,58
7350,102
289,30
9589,123
4205,96
9334,35
1260,40
4753,52
3510,44
1959,82
8289,115
627,132
2328,121
8859,79
8967,141
3606,44
2736,129
3534,150
5038,86
3540,119
7100,89
4712,122
4492,47
1398,66
5295,148
6594,125
3743,70
3075,155
6011,42
3439,150
4336,47
6518,50
9719,123
6986,151
8775,141
5972,24
8083,146
3725,39
1627,74
7436,133
4166,127
5880,50
7501,177
1945,38
1954,100
9720,167
257,123
5518,161
5646,60
6171,262
3501,31
4377,78
6717,89
268,30
7003,151
5299,99
2475,72
5154,29
9014,92
2945,80
8102,159
7810,102
8341,128
7891,102
3751,62
1734,30
8960,22
2461,72
3999,189
9808,43
9860,74
4331,127
670,70
4279,78
8657,141
5427,161
659,52
202,27
5138,55
2051,38
2125,126
7155,76
5842,81
9084,66
7373,133
6884,58
2278,59
7009,182
808,29
9576,123
9912,136
521,124
3182,106
9820,136
8835,97
1872,25
6590,138
2162,139
549,93
6594,125
1053,81
6652,76
1698,61
4630,109
7634,84
5694,174
3906,39
482,23
2134,64
4982,104
6506,45
6436,76
3673,163
1672,43
7051,58
4840,21
4841,104
129,122
9633,48
3529,57
5936,50
162,24
9744,136
4735,153
1442,48
2742,116
2230,95
5219,55
3449,150
414,90
8349,115
1031,37
5428,55
8025,45
62,108
1480,48
3646,163
1579,123
7599,58
9624,61
7944,97
6971,58
661,114
1182,58
2571,54
1336,71
3575,49
8222,40
4857,166
7750,53
3592,119
1779,149
7054,58
9610,61
3563,163
6203,94
4194,65
3140,124
2390,121
2705,41
7934,53
5746,174
68,15
7178,71
7269,71
1174,120
5517,130
646,101
6358,81
9645,167
4356,47
8947,97
4956,135
5486,117
9467,105
8617,172
4681,47
4585,153
1127,138
157,37
4020,70
7949,97
9331,136
879,148
1954,100
5922,37
2560,15
6754,37
9728,30
9461,61
3351,137
5322,55
3011,41
3770,132
1415,35
7929,146
9092,141
6479,125
6821,138
1768,118
119,34
8923,71
9262,110
5715,174
2955,142
8170,53
5588,37
9776,43
8445,172
5217,148
8149,53
893,73
4243,109
134,29
2125,126
6588,138
2172,139
957,55
1424,35
2055,38
50,25
3350,137
261,30
1537,154
7995,53
2246,46
5337,55
8127,190
1228,40
1933,25
7643,71
4202,34
8271,97
6531,138
7232,19
1550,154
6577,138
2056,126
4296,26
3353,44
2242,46
3491,150
2073,38
1314,53
4054,158
3182,106
7292,164
475,28
8536,66
3863,145
1758,149
5782,50
7916,146
5322,55
1095,76
5563,117
7082,120
9194,48
9823,123
3121,62
5050,42
4724,60
2139,77
2100,33
4292,26
68,15
9407,110
4466,140
7462,71
963,50
7254,58
6598,32
1352,53
2874,54
3422,150
6852,32
3676,132
1120,19
206,89
3720,39
1474,141
199,120
8834,97
7319,133
8864,22
5913,81
6907,120
1628,43
3708,119
2771,67
1240,89
4937,135
8394,66
5111,60
5473,161
7789,84
9889,123
4558,153
7314,120
4806,60
825,135
5432,68
4180,34
9064,66
4579,109
2132,33
528,31
2568,28
4190,109
9061,66
4473,96
455,41
8075,71
1935,144
5677,130
555,31
7112,151
9949,74
3791,176
1108,19
1669,136
8151,159
1008,112
4165,127
8511,203
6091,37
7165,102
9154,154
5898,143
6924,151
5481,42
7675,177
691,127
623,132
1164,120
8130,128
867,29
9076,66
8324,66
861,104
6760,45
7617,177
1535,61
4916,42
2746,129
2314,33
7594,40
8685,53
8948,92
2091,38
8593,27
759,60
4345,52
2651,147
5324,55
9228,154
5978,50
5447,99
5214,86
3115,62
1352,53
1672,43
1761,105
9507,53
9831,105
4031,96
6028,24
9702,167
1321,102
7161,133
69,15
568,106
8693,141
1283,53
4345,52
1430,27
2139,77
4908,135
2009,25
1909,38
5106,179
8498,128
1171,58
7792,146
9633,48
319,56
2332,33
2767,98
187,45
9956,43
8306,66
6576,138
6405,63
5213,104
1053,81
1928,25
4622,153
6244,63
7618,177
9842,74
6456,76
1333,115
1947,82
5959,125
1710,56
2891,49
263,79
4522,21
6006,42
2793,111
8491,110
4424,140
424,15
2192,95
5598,68
704,21
9272,61
8436,84
622,88
6753,76
9225,229
9201,48
104,13
1092,32
8727,141
7643,71
3190,75
7501,177
3076,36
7735,84
4579,109
5023,91
7671,133
4175,114
6939,89
9616,61
8370,40
2198,33
4149,127
2248,46
5023,91
9385,84
1556,123
6757,37
222,71
497,23
5226,29
8467,203
8545,128
7396,71
5340,148
3202,62
7717,58
5443,68
95,106
5237,148
3565,49
8346,128
6383,200
5483,117
4237,34
7448,40
9467,105
2117,33
1312,115
8871,79
7888,53
5442,68
9875,136
6436,76
6931,151
9252,110
622,88
1792,25
1263,177
1408,22
2634,54
2678,28
5511,130
317,38
8286,66
8532,35
9538,79
8874,22
6562,76
3098,124
5656,130
2713,160
1030,125
4894,135
2669,147
4025,70
5860,37
1250,27
1078,50
7060,32
714,34
6073,63
2011,43
9022,154
7775,53
2728,15
5777,143
4429,140
5620,86
2202,95
1516,61
1274,58
2474,28
950,29
4549,21
7698,133
9391,61
8021,115
7943,146
3022,93
3042,111
6877,151
1668,136
8565,27
2065,126
1159,58
6138,63
3959,145
778,122
6990,58
1944,100
723,47
9730,48
7757,53
2387,103
4519,91
3302,137
6179,37
6895,89
8276,128
3191,75
4215,158
3883,52
2557,134
6374,125
5218,55
3640,44
3141,124
3742,132
8533,35
8551,79
6373,125
2903,142
4204,96
3717,132
9736,136
1759,149
4953,42
4629,34
133,29
5326,86
3459,106
5536,37
6079,68
9118,154
2367,90
917,37
3893,101
2321,33
3580,101
3992,52
8613,79
3953,52
7247,120
3677,132
6651,45
6763,37
8790,128
3328,18
3659,132
1152,27
9646,167
7875,128
1035,125
9177,110
9188,61
6704,45
6116,63
9925,43
4520,21
6671,182
9268,35
1433,27
5626,174
8460,84
3504,57
576,26
3118,62
3080,36
8964,48
5060,42
6488,138
5550,68
3672,132
6557,107
7122,50
6950,107
9232,35
4509,140
1705,136
3032,62
8632,53
3930,145
9782,180
6514,50
5152,104
5217,148
5664,37
8157,66
6243,63
6584,138
3708,119
9151,92
2003,144
7135,195
1490,92
6143,156
1430,27
1358,66
9196,154
452,15
3137,36
2663,85
8734,141
1519,154
677,52
2527,178
7188,120
921,130
5618,161
808,29
1023,63
7510,63
1023,63
3959,145
5298,99
9532,53
9833,48
7091,58
5457,68
8036,27
5582,68
8511,203
5825,50
702,83
2062,38
8263,159
7780,40
3624,18
185,45
7618,177
3493,150
2694,67
7359,146
9837,105
3367,88
1157,32
8415,110
2124,126
5597,68
6230,63
3303,75
5987,50
6525,138
5564,117
7926,53
5935,99
6607,76
1166,32
3257,49
4051,158
4743,60
7064,32
4864,29
6853,32
4860,166
6438,76
6394,76
5822,143
1947,82
3349,44
6968,182
7247,120
6995,107
1993,51
4558,153
8367,159
2530,41
4218,83
7623,71
7114,151
7033,107
7049,81
6102,156
9147,66
4303,109
5732,29
975,143
6918,107
7360,40
2840,36
1985,51
668,70
5281,55
6827,182
1979,144
2100,33
5491,42
2746,129
7401,71
3472,31
828,91
7084,58
3384,36
1181,58
2471,134
6001,50
574,44
1324,27
2012,69
7055,58
7801,146
8091,190
9229,154
8627,53
2520,41
2120,126
9760,43
8952,92
9431,105
8308,66
3184,124
6805,63
2195,139
9723,105
2904,49
1716,105
6501,138
212,14
527,80
711,65
5745,37
2004,113
519,62
6006,42
7373,133
6845,151
4693,122
3227,106
7432,133
8109,159
1221,40
3176,31
8205,40
8802,141
7659,177
5408,55
7219,45
1669,136
4761,34
9829,136
2246,46
5490,42
9905,43
733,96
5497,99
9067,48
4231,39
5358,29
6623,169
7191,71
3172,80
3124,124
9302,35
6391,76
234,22
7231,71
2902,142
4061,39
3677,132
4155,65
751,140
9414,35
136,16
4997,179
5318,55
6282,125
4992,42
1775,87
3109,36
2435,134
1325,27
4591,171
1395,128
7146,76
2437,134
7764,102
5790,55
5737,112
8299,159
359,51
8461,84
7346,164
3035,155
478,54
5262,192
9657,61
5104,60
5043,42
7937,53
1359,66
4319,127
6208,125
8075,71
5155,29
3125,124
5226,29
5553,130
1726,43
6408,63
4268,65
7417,120
4301,26
3804,31
1394,128
6700,138
6206,94
9462,61
7555,133
7027,58
9973,136
6631,138
5733,29
1923,51
1498,48
2242,46
7796,146
9459,61
6953,89
7967,97
9514,79
2316,33
3822,31
6823,120
8402,66
3889,39
7243,58
3457,44
4283,127
9622,48
2207,170
3212,23
636,57
6072,63
1644,136
9652,74
6394,76
8151,159
2981,93
6163,156
9098,22
5950,50
555,31
7744,102
1869,87
2268,64
7114,151
4854,122
6882,107
3828,57
7812,40
2391,121
1424,35
2932,98
3798,70
3418,57
5845,99
1744,118
6871,151
8359,141
5939,143
8405,35
1834,38
3618,57
7282,120
913,130
9600,22
8750,79
2939,80
5973,24
2255,139
2900,23
4539,184
9250,35
1182,58
597,26
