train_input_1,train_input_2,train_input_3,train_input_4,train_output_1
-95,-95,-95,-95,-95
83,83,83,83,83
84,84,84,84,84
-51,-51,-51,-51,-51
16,16,16,16,16
-55,-55,-55,-55,-55
-34,-34,-34,-34,-34
27,27,27,27,27
-46,-46,-46,-46,-46
54,54,54,54,54
-45,-45,-45,-45,-45
-83,-83,-83,-83,-83
26,26,26,26,26
8,8,8,8,8
-18,-18,-18,-18,-18
96,96,96,96,96
-50,-50,-50,-50,-50
-73,-73,-73,-73,-73
-75,-75,-75,-75,-75
0,0,0,0,0
62,62,62,62,62
48,48,48,48,48
45,45,45,45,45
19,19,19,19,19
67,67,67,67,67
93,93,93,93,93
27,27,27,27,27
-83,-83,-83,-83,-83
-88,-88,-88,-88,-88
-19,-19,-19,-19,-19
33,33,33,33,33
-58,-58,-58,-58,-58
-73,-73,-73,-73,-73
-90,-90,-90,-90,-90
-97,-97,-97,-97,-97
-100,-100,-100,-100,-100
-11,-11,-11,-11,-11
36,36,36,36,36
38,40,46,55,38
78,95,35,84,35
26,6,100,98,6
29,83,93,67,29
46,1,42,19,1
89,53,43,40,40
40,28,37,7,7
90,5,50,27,5
59,97,3,41,3
30,43,38,35,30
25,67,64,46,25
69,68,55,80,55
50,5,78,39,5
47,64,41,2,2
77,2,80,18,2
83,74,86,3,3
79,31,46,73,31
89,58,91,50,50
92,76,18,76,18
61,27,40,35,27
97,73,90,53,53
43,69,64,90,43
63,26,73,74,26
55,45,80,29,29
43,37,28,30,28
38,93,67,39,38
68,82,13,61,13
45,87,73,6,6
95,30,63,91,30
40,87,51,11,11
27,79,35,77,27
13,79,4,15,4
93,71,60,85,60
29,87,52,74,29
80,38,25,91,25
76,47,92,83,47
20,62,39,66,20
7,18,64,84,7
54,91,25,18,18
46,97,26,49,26
91,68,98,55,55
71,47,27,69,27
3,17,64,63,3
61,19,77,53,19
44,80,26,95,26
79,16,55,99,16
26,29,90,27,26
29,79,85,88,29
17,20,3,79,3
69,57,98,69,57
69,100,56,74,56
95,99,99,88,88
56,100,77,41,41
32,81,83,29,29
78,79,78,80,78
97,29,89,11,11
83,54,69,94,54
29,35,16,1,1
3,33,88,62,3
28,30,67,76,28
56,91,20,11,11
48,88,69,22,22
25,87,4,21,4
25,91,75,96,25
63,33,84,70,33
72,84,41,39,39
2,82,81,49,2
43,50,15,11,11
76,92,62,34,34
8,9,23,93,8
44,94,6,43,6
65,55,4,50,4
98,70,27,51,27
81,17,57,54,17
50,70,32,69,32
48,19,65,25,19
4,41,29,74,4
18,97,92,35,18
59,8,88,35,8
8,63,5,97,5
74,21,39,10,10
23,89,4,85,4
94,50,15,57,15
63,94,99,34,34
2,38,29,80,2
34,57,92,43,34
1,39,18,0,0
67,98,36,57,36
36,53,52,49,36
80,92,66,99,66
70,98,84,32,32
15,89,60,2,2
95,18,55,79,18
42,33,43,75,33
64,44,91,10,10
64,62,6,49,6
55,43,65,49,43
9,93,56,25,9
22,100,39,71,22
21,51,44,55,21
80,54,85,33,33
81,28,25,88,25
10,59,37,82,10
60,89,83,47,47
45,100,10,98,10
13,39,82,67,13
29,73,92,3,3
58,53,91,1,1
24,79,47,4,4
13,15,53,5,5
18,21,94,98,18
66,71,83,97,66
54,25,69,92,25
55,67,96,59,55
96,100,92,7,7
7,66,0,13,0
0,1,16,27,0
45,16,85,30,16
16,69,61,27,16
89,51,22,21,21
25,31,5,30,5
97,48,87,89,48
86,67,51,22,22
97,51,82,45,45
13,68,84,13,13
87,1,83,99,1
77,27,19,42,19
23,30,50,81,23
1,31,18,77,1
94,40,5,33,5
90,25,41,26,25
17,30,32,4,4
33,24,12,65,12
65,67,68,20,20
13,85,33,35,13
23,78,70,93,23
35,14,84,69,14
77,74,16,75,16
30,46,6,99,6
27,12,35,75,12
21,58,4,58,4
84,44,65,19,19
95,13,74,41,13
42,86,87,4,4
76,33,7,84,7
89,39,60,52,39
29,95,26,85,26
6,93,40,49,6
99,3,62,95,3
23,42,43,30,23
98,75,10,22,10
20,30,33,94,20
55,6,3,69,3
44,84,100,6,6
93,12,90,11,11
31,47,49,10,10
92,25,48,32,25
97,51,73,91,51
9,21,74,88,9
84,7,58,21,7
28,32,54,97,28
79,7,55,73,7
47,45,85,97,45
94,30,15,64,15
7,4,41,12,4
9,33,52,59,9
43,98,58,82,43
10,39,95,14,10
37,22,58,97,22
48,30,15,2,2
65,3,38,15,3
80,99,29,18,18
12,34,40,60,12
10,53,81,33,10
87,11,1,5,1
84,63,21,24,21
31,76,56,27,27
89,27,1,54,1
74,16,66,100,16
24,12,39,77,12
96,49,9,94,9
9,98,31,87,9
46,6,31,33,6
77,16,79,98,16
84,71,24,1,1
97,11,16,56,11
89,78,45,17,17
91,52,93,18,18
84,30,5,64,5
88,89,46,75,46
16,69,54,41,16
56,45,27,48,27
87,34,32,92,32
27,98,6,2,2
23,52,86,59,23
93,54,53,15,15
39,48,43,43,39
15,96,90,61,15
47,71,17,91,17
56,35,15,98,15
-74,-37,-98,50,-98
-13,-1,14,10,-13
22,-39,-73,80,-73
-81,-44,38,25,-81
55,37,45,-56,-56
-23,39,-4,93,-23
72,-53,54,-40,-53
2,-53,-69,26,-69
-78,-33,-65,-99,-99
81,-32,41,61,-32
41,-33,-34,93,-34
96,36,30,77,30
5,-98,-72,-11,-98
-76,24,-93,26,-93
13,39,30,-10,-10
21,69,-51,2,-51
99,-57,44,-83,-83
-32,67,21,21,-32
65,84,54,-9,-9
63,-66,40,23,-66
30,-91,-38,-19,-91
-61,18,-44,62,-61
-36,-42,18,-21,-42
-93,-50,69,-77,-93
33,-86,-5,68,-86
-77,12,-51,-14,-77
58,-71,25,-21,-71
47,34,53,68,34
-1,44,-74,-6,-74
98,81,-11,5,-11
100,82,-91,-71,-91
43,-39,42,28,-39
51,-32,-61,-11,-61
-68,24,-31,-30,-68
-8,92,-6,-71,-71
30,59,4,53,4
88,48,31,58,31
-53,55,-78,66,-78
-66,-57,-26,-72,-72
76,80,20,79,20
79,26,51,30,26
85,4,81,7,4
-42,82,-94,81,-94
69,46,72,-12,-12
63,76,-43,-65,-65
18,-47,-13,75,-47
71,-87,19,72,-87
16,-2,49,68,-2
-40,36,35,-94,-94
25,-58,48,-11,-58
74,29,74,95,29
-75,-60,49,-69,-75
-1,47,9,60,-1
-86,-46,87,94,-86
39,-82,90,17,-82
83,91,-96,-36,-96
-48,-58,-88,-66,-88
69,-3,-22,-40,-40
-54,42,-76,3,-76
75,30,-66,27,-66
-58,-25,66,22,-58
-83,65,-73,-90,-90
-78,-2,-48,-18,-78
-3,7,-96,8,-96
27,31,-33,-24,-33
74,-90,-96,-43,-96
-18,-30,52,74,-30
15,-78,88,-9,-78
-67,-2,-48,29,-67
23,0,31,-79,-79
25,27,-70,-73,-73
-5,38,55,-57,-57
56,100,74,-85,-85
76,97,-56,1,-56
-95,31,18,10,-95
-41,-9,1,15,-41
82,29,60,-93,-93
-6,-70,-30,-61,-70
74,-98,18,-67,-98
-70,4,70,92,-70
5,-97,91,95,-97
85,14,49,-74,-74
64,75,52,67,52
30,23,-1,56,-1
-40,65,33,-75,-75
-62,41,17,-91,-91
-38,-48,88,-40,-48
-61,14,-68,-74,-74
-91,-31,27,80,-91
34,-44,-68,-20,-68
-99,-16,-36,-97,-99
-69,-19,93,54,-69
-56,63,60,-40,-56
-91,7,-63,34,-91
-17,-87,-9,5,-87
3,-55,26,-73,-73
-45,-98,-21,90,-98
-98,-16,57,43,-98
68,-100,-51,-42,-100
-68,-74,62,84,-74
-85,-78,26,-59,-85
81,39,86,9,9
-57,79,99,91,-57
78,49,-49,44,-49
93,-4,-58,3,-58
34,73,80,-74,-74
-60,27,1,2,-60
16,45,54,-27,-27
68,-60,21,-19,-60
-61,-10,-56,79,-61
28,-89,-26,0,-89
56,27,76,-73,-73
7,-15,84,-76,-76
30,-49,-94,-58,-94
-11,-20,76,15,-20
47,93,-53,-77,-77
76,-35,-89,84,-89
-39,-69,-76,85,-76
91,-71,-1,-59,-71
-42,74,-91,-68,-91
-25,60,-97,37,-97
-13,56,-81,-4,-81
-3,51,10,95,-3
9,-59,34,-14,-59
-85,29,63,-55,-85
-5,90,-4,-54,-54
43,59,-76,66,-76
-43,-43,63,88,-43
76,-79,-51,-91,-91
62,23,-97,-47,-97
-72,-34,87,-63,-72
-50,-15,26,86,-50
-54,25,83,-29,-54
-15,-46,94,-62,-62
-74,4,76,-90,-90
71,97,40,26,26
-21,-5,14,87,-21
-68,2,-54,32,-68
51,-85,63,49,-85
-95,-83,-30,16,-95
-1,-82,-41,1,-82
-99,-98,45,-66,-99
-76,-56,87,92,-76
-54,-11,-51,95,-54
3,-71,100,-63,-71
-19,8,-62,65,-62
5,-73,37,79,-73
75,-51,-10,-33,-51
67,-3,71,87,-3
-92,30,19,-88,-92
-88,38,-65,75,-88
-36,-63,68,68,-63
42,-80,57,89,-80
-27,87,49,-14,-27
-67,-43,-67,86,-67
80,-46,91,84,-46
11,-94,-56,-18,-94
-61,-90,-38,-31,-90
-54,-46,52,-48,-54
-21,-38,-93,91,-93
-44,-44,-15,66,-44
16,-78,46,-100,-100
-6,-29,-25,-26,-29
-76,13,-16,0,-76
-80,-70,-69,45,-80
14,62,41,-56,-56
-9,-31,88,39,-31
80,31,-12,30,-12
-2,-61,-27,64,-61
-93,-86,-50,7,-93
-54,7,21,15,-54
-16,19,-71,56,-71
72,-53,-69,-17,-69
4,-17,75,63,-17
85,37,-40,-24,-40
93,-39,23,51,-39
86,84,38,-22,-22
-37,39,29,68,-37
66,15,-6,-67,-67
-97,-54,-52,-50,-97
62,-62,91,79,-62
100,-48,83,-19,-48
97,-80,-9,12,-80
96,-8,-54,-51,-54
-31,-10,54,22,-31
-63,-68,68,-68,-68
-70,-70,28,-65,-70
62,77,-1,8,-1
82,16,41,99,16
20,-3,10,98,-3
-87,50,-66,24,-87
-68,-15,-87,70,-87
99,41,42,94,41
69,-89,-4,54,-89
42,30,-54,96,-54
-91,84,80,44,-91
-42,-89,-89,31,-89
24,21,26,71,21
28,42,3,88,3
-17,-64,-10,-81,-81
23,24,-63,-14,-63
-22,11,-23,-44,-44
-43,-83,-36,91,-83
66,77,35,96,35
97,76,93,68,68
-29,-89,-49,-43,-89
-98,-100,65,-77,-100
38,76,60,-30,-30
98,-69,-81,-3,-81
-72,60,-90,-1,-90
17,93,76,43,17
-15,-93,-53,-58,-93
-63,45,-89,-44,-89
-28,44,1,-2,-28
-67,68,-46,-10,-67
-24,-30,-74,-95,-95
31,-70,-74,27,-74
-9,80,-5,46,-9
77,-52,6,51,-52
-6,-14,-64,-54,-64
-91,-34,64,45,-91
98,19,-37,81,-37
39,-86,-45,-80,-86
46,-83,39,61,-83
26,68,74,32,26
-63,-37,-48,21,-63
-63,53,56,38,-63
86,49,-72,86,-72
5,36,-45,99,-45
76,-99,41,97,-99
-47,83,-19,-68,-68
4,-57,99,-42,-57
11,87,15,60,11
19,81,22,29,19
79,-41,12,91,-41
-9,-2,-57,-47,-57
95,-97,52,-83,-97
-4,-9,76,-75,-75
45,7,93,49,7
2,89,91,21,2
-21,-20,-51,48,-51
24,17,-54,-93,-93
-6,55,93,58,-6
57,41,52,-1,-1
-82,83,45,14,-82
51,-60,-6,-84,-84
-17,-47,63,37,-47
-15,56,-36,53,-36
-43,-88,-75,51,-88
-12,-67,98,43,-67
-29,-71,-36,93,-71
-98,96,-50,-61,-98
65,-15,-91,-53,-91
-61,5,78,-7,-61
-68,-27,69,53,-68
35,-16,22,84,-16
30,-78,98,74,-78
20,9,41,-29,-29
32,37,-57,4,-57
28,-1,-98,61,-98
-25,54,-59,69,-59
49,98,-45,58,-45
-54,26,88,65,-54
32,91,54,-18,-18
1,-7,-36,-5,-36
-23,11,23,-8,-23
-86,-73,14,56,-86
2,-17,-49,-14,-49
-59,21,-17,20,-59
9,67,28,18,9
-8,-18,69,25,-18
99,-55,-5,-8,-55
61,55,69,-59,-59
-35,96,15,67,-35
-86,26,-9,-32,-86
-89,50,97,86,-89
-32,18,29,96,-32
-84,-66,-98,64,-98
-29,26,12,18,-29
-25,49,-29,71,-29
30,9,-18,-3,-18
39,-19,82,75,-19
72,70,40,-29,-29
24,-29,-9,10,-29
39,-90,68,7,-90
-66,57,74,18,-66
-32,97,70,-38,-38
-81,-45,14,14,-81
-83,-73,-53,-75,-83
-35,5,90,-35,-35
59,6,-60,-38,-60
-77,-70,10,-91,-91
45,-16,6,-88,-88
18,-60,-49,30,-60
-1,30,0,91,-1
-10,47,-28,86,-28
9,-20,-48,-34,-48
-55,56,-4,11,-55
-27,43,-31,-44,-44
10,38,-24,72,-24
61,50,-72,-58,-72
52,86,38,-96,-96
35,-10,55,-24,-24
-41,95,-68,18,-68
-89,-66,-33,49,-89
-94,89,-6,3,-94
-74,100,66,58,-74
62,99,23,-46,-46
39,58,-14,-50,-50
-24,38,-83,69,-83
82,-4,-89,42,-89
-4,84,98,-20,-20
81,29,-89,80,-89
86,9,-80,-50,-80
89,-16,16,5,-16
23,41,-99,33,-99
52,-17,-74,-45,-74
-81,10,-84,-84,-84
-19,-9,-61,71,-61
44,-38,-33,65,-38
4,27,-69,98,-69
46,-54,-84,78,-84
29,-100,80,96,-100
-4,-45,80,93,-45
-49,-43,-49,-98,-98
-33,-37,99,-51,-51
62,-42,-87,-18,-87
10,-36,-27,-64,-64
67,43,10,2,2
-18,-1,-32,23,-32
15,86,-75,-6,-75
-35,45,-11,83,-35
74,-18,-89,28,-89
-3,65,-70,-1,-70
-80,77,59,82,-80
-52,-47,28,57,-52
82,-10,-61,-51,-61
5,-42,40,-28,-42
0,-67,12,1,-67
-30,28,6,-77,-77
-38,40,33,29,-38
36,-3,-38,35,-38
-48,28,96,63,-48
15,-12,-33,-30,-33
-15,61,25,-79,-79
-31,-39,87,67,-39
79,-56,-17,15,-56
-85,65,40,-30,-85
-13,-71,-70,-50,-71
94,-99,-97,60,-99
-46,-12,14,79,-46
0,-91,-89,8,-91
11,29,-58,64,-58
78,-72,-37,28,-72
74,-37,0,11,-37
23,71,44,25,23
35,-50,-54,22,-54
-84,67,48,-6,-84
36,20,2,35,2
97,50,-83,60,-83
29,71,91,45,29
31,-88,-95,63,-95
-6,-10,40,-99,-99
-73,18,-4,-39,-73
42,67,90,2,2
66,1,-5,-16,-16
99,55,-7,-72,-72
40,-31,53,-34,-34
48,25,92,-65,-65
-50,48,71,38,-50
-23,79,-61,70,-61
12,69,44,-100,-100
-2,19,38,41,-2
20,6,-18,69,-18
23,26,-22,-26,-26
-68,-99,-90,-28,-99
58,62,84,-91,-91
53,-41,89,-19,-41
43,-84,-6,33,-84
-64,-58,69,-8,-64
-57,57,-60,-16,-60
93,83,-5,56,-5
-75,31,-64,73,-75
-53,-59,-58,56,-59
-40,-58,-85,61,-85
-12,-38,23,-98,-98
-9,80,-96,-69,-96
58,18,-78,52,-78
-15,31,-55,55,-55
86,81,6,7,6
22,62,-27,-90,-90
-47,-21,-15,-36,-47
5,45,79,-100,-100
-11,30,-98,43,-98
-93,79,-12,44,-93
37,-78,75,-51,-78
13,-48,67,-28,-48
1,90,-68,-4,-68
15,47,83,13,13
82,-66,6,-21,-66
14,13,-51,13,-51
-72,4,3,95,-72
63,-21,-77,29,-77
-3,54,-66,-92,-92
-20,-44,26,100,-44
-10,-79,18,58,-79
-73,23,13,-78,-78
59,-13,-59,-12,-59
96,40,-40,93,-40
88,-38,50,92,-38
-28,-98,-79,-3,-98
-88,-17,-63,4,-88
79,88,92,-21,-21
-91,81,47,-82,-91
72,17,64,-80,-80
30,53,-1,-68,-68
-81,68,-17,-62,-81
-11,39,79,-14,-14
-58,-82,21,3,-82
-2,51,53,71,-2
-13,41,38,96,-13
71,-22,-29,-25,-29
-38,53,29,-5,-38
-49,56,-38,65,-49
-82,-33,99,-11,-82
-19,54,60,-71,-71
37,5,19,-29,-29
86,89,3,63,3
-86,-28,47,-21,-86
36,-16,74,-60,-60
-96,21,-29,-59,-96
-30,-49,54,32,-49
47,41,18,-47,-47
93,29,80,-55,-55
23,0,20,44,0
92,-17,13,-85,-85
56,-89,-60,81,-89
66,76,95,44,44
-9,-27,-49,46,-49
-21,-4,99,-83,-83
-24,-47,-7,-64,-64
89,-70,-6,12,-70
-61,-20,-32,59,-61
-21,-85,63,-75,-85
3,-98,-51,44,-98
12,-84,92,-96,-96
14,-16,29,-72,-72
-51,-43,-99,-95,-99
45,-16,-64,-87,-87
-4,45,31,34,-4
-53,72,58,-53,-53
-91,96,-77,14,-91
-83,40,-93,-51,-93
9,42,-34,54,-34
39,78,-81,-51,-81
45,81,-80,64,-80
38,-94,-30,45,-94
79,-29,18,15,-29
46,-59,16,73,-59
-65,-26,45,66,-65
-99,86,-5,-53,-99
-35,-87,76,76,-87
96,32,31,-71,-71
18,47,3,-59,-59
30,-7,-13,42,-13
-63,57,56,80,-63
-72,29,-84,30,-84
-10,-10,-69,-90,-90
39,28,-52,17,-52
46,-10,4,-98,-98
26,-11,-53,-63,-63
-25,30,74,32,-25
-97,43,48,-78,-97
0,46,-74,49,-74
-52,-63,25,29,-63
-95,-47,64,14,-95
-72,75,16,-29,-72
-37,-82,-26,-17,-82
6,0,-6,38,-6
85,47,33,-92,-92
32,92,29,-32,-32
47,-77,-65,-49,-77
-72,87,62,59,-72
-58,69,9,20,-58
-64,92,94,-19,-64
54,-25,-80,96,-80
-34,74,56,58,-34
-50,-88,-47,-27,-88
36,86,16,22,16
69,-81,-8,100,-81
78,-33,-49,-77,-77
-10,-74,83,-95,-95
3,17,95,-62,-62
16,44,-58,-11,-58
43,9,69,9,9
-74,85,41,79,-74
-45,-9,91,85,-45
14,-94,-68,-100,-100
2,-48,46,-1,-48
-22,-49,95,-72,-72
1,-26,98,-95,-95
80,-6,-66,70,-66
25,29,68,-11,-11
0,59,-58,4,-58
-50,21,-29,-99,-99
70,-84,-32,-25,-84
-23,-33,-26,-65,-65
-41,12,43,95,-41
-92,15,-57,43,-92
45,84,-65,-37,-65
-69,-98,13,82,-98
64,-40,16,20,-40
5,96,90,56,5
75,-11,82,68,-11
-45,15,-75,61,-75
52,-12,-99,14,-99
87,55,95,17,17
-9,19,53,-26,-26
-61,20,14,82,-61
-41,34,5,-55,-55
22,-82,-28,-57,-82
75,-53,-45,-36,-53
-58,58,-3,-13,-58
-86,4,-1,-22,-86
61,46,-100,54,-100
64,-55,-31,-79,-79
82,97,-16,75,-16
-98,29,66,98,-98
18,36,66,-45,-45
55,-44,-14,-2,-44
61,-97,-62,71,-97
-37,-96,-11,-74,-96
-35,-67,-23,58,-67
-15,-19,7,-34,-34
-94,-11,-100,95,-100
-60,31,-49,-16,-60
-97,-86,-98,94,-98
-84,48,37,-38,-84
21,-98,-97,-82,-98
-19,-85,71,-68,-85
90,-46,35,78,-46
24,-57,91,74,-57
1,-11,-66,31,-66
82,-7,6,89,-7
-84,1,26,99,-84
-72,-7,-71,17,-72
42,96,-4,3,-4
-76,90,43,31,-76
37,21,-21,-48,-48
63,-35,-44,-36,-44
26,75,93,-89,-89
-39,15,-43,-54,-54
-52,53,96,3,-52
79,83,17,0,0
73,-24,82,-79,-79
55,31,-42,-88,-88
84,-7,-93,-67,-93
-38,-98,-87,-7,-98
-79,91,-22,-62,-79
85,61,19,61,19
-86,45,-46,50,-86
41,97,53,28,28
65,-51,86,-84,-84
88,62,70,-38,-38
-94,-9,-76,46,-94
-32,-21,-45,24,-45
-38,-10,-91,4,-91
-7,-60,0,75,-60
63,100,-22,-9,-22
100,-45,-18,1,-45
96,-46,-92,38,-92
-44,19,16,-87,-87
51,88,58,37,37
26,-73,-35,-15,-73
-56,-96,64,1,-96
-30,15,-84,-89,-89
-8,47,-68,-11,-68
91,39,-12,9,-12
93,43,-66,65,-66
-11,-62,6,96,-62
76,52,-9,-57,-57
-66,70,-72,65,-72
-35,19,-24,69,-35
-35,25,-92,32,-92
100,6,18,66,6
-12,93,11,83,-12
-38,58,-3,-76,-76
60,-83,44,46,-83
-14,61,95,-43,-43
2,-69,-10,83,-69
-11,-69,-89,31,-89
6,92,70,18,6
84,91,-30,-12,-30
-26,-94,-89,-63,-94
9,27,-58,-38,-58
100,-78,-61,-29,-78
41,73,31,64,31
-3,-87,-39,-85,-87
-47,68,46,-29,-47
-16,38,-79,-44,-79
