train,
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],34
[0 0 0 0 0 0 0 0 0 0 0 0 0 0],13
[0 0 0 0 0],4
[9 0 -8 5],1
[-8 5 0 9],2
[0 9 -8 5],0
[5 9 0 -8],2
[9 -8 5 0],3
[-8 0 9 5],1
[0 5 9 -8],0
[-8 5 9 0],3
[-8 9 0 5],2
[-8 0 5 9],1
[9 0 5 -8],1
[5 -8 0 9],2
[9 5 0 -8],2
[5 -8 9 0],3
[5 9 -8 0],3
[9 5 -8 0],3
[-8 9 5 0],3
[0 -8 5 9],0
[9 -8 0 5],2
[0 5 -8 9],0
[9 0 -8 0],3
[9 0 0 -8],2
[-8 0 0 9],2
[0 9 0 -8],2
[0 -8 9 0],3
[0 0 9 -8],1
[9 -8 0 0],3
[0 -8 0 9],2
[-8 9 0 0],3
[0 0 -8 9],1
[0 0 0 9],2
[0 0 9 0],3
[0 9 0 0],3
[9 0 0 0],3
[32 -17 6 0 25 0 16 45 -24 -26 -20 -31 -5 43 7 31 0 23 -39 13 -48 -3 8 -29 0 18 12 -37 0 -18 -20],28
[-12 44 -12 -44 45 43 49 6 -43 41 18 -43 -33 -22 33 -16 -3 35 -29 0 0 -36 -15 43 -38 4 0 -13 23 -19 -34 36 -38 -13 -19 13 38 0 -37 -19 -44 39 -5 0 -11 26 6 -14 -14],43
[22 -24 0 -2 -49 24 50 14 0 0 0 41 -15 -11 -30 -27 0 0 16],17
[-25 -18 -7 -30 -12 -33 -39 0 36 -17 47 -17 -38 0 -5 10 -43 -33 29 -8 -3 -37 2 0 -9 -24 -19 45 0 -38 47 21 0 -29 47 0 17 39],35
[37 5 44 0],3
[17 49 -17 -37 15 -48 28 -25 -31 -11 28 38 -48 -23 33 0 23 8 42 -37],15
[11 12 -4 0 -42 25 -20 36 46 38 -21 26 1 43 15 0 25 7 49 5 17 -43 -24 -6 0 0 0 -28 -7 -15 43 20 -48 -11 11 25 25 48 -2 -16 30 -50 4 0 0 -12 13 -8 -34 31],44
[22 41 1 7 24 -10 -44 0 -9 0 -12 40 38 -13 -7 -15 -14 35 45 -31 -11],9
[-30 0 33 -41 0 -11 41 0 24 -5 0 12 32 -28 0 27],14
[48 -21 -4 43 0 36 0 30 0 9 26 0 0 0 -48 0 0 12 -24],16
[0 0 -41 0],3
[0 7 -32 5 -24 36 44 49 42 28 -19 34 -16 32],0
[20 15 28 4 -44 -17 -42 36 14 26 -50 15 -17 -24 -28 -36 36 13 -5 29 0 -45 3 49 -29 -30 50 -9 -27 12 48 45 42 -22 37],20
[-28 -41 -43 2 35 -41 47 -36 41 0 8 -10 4 7 35 -30 -38 -24 0 -11 49 -34 -13 -19 0 2 -28 0 0 -2 21 17 -35 0 41],33
[19 15 -11 0 -47 -42 -15 -46 0 0 0 0 -41],11
[-22 -16 47 -43 -31 -17 -44 36 -10 34 -43 26 0 0 0 -22 28 8 -18 44 -22 45 0 20 -35 -33 -18 0 -49 -28 -8],27
[0 -39 43 -40 0 -21 0],6
[0 0 0 0 -6 0 0],6
[24 -23 13 -29 -29 -28 -40 29 21 47 -28 -13 -14 25 -46 31 8 22 -25 -46 16 -26 -21 48 -14 -43 10 -39 -29 31 42 0 -44],31
[1 10 27 0 34 24 -11 -41 -1 0 23 18 20 40 39 -34 35 -1 -27 13 40 3 6 0 -44 40 -42 -18 -49 -50 -16 -25 -25],23
[-31 -6 43 6 49 0 28 -18 0 18 7 12 42 40 33 30 18 -24 -30 -35 0 -42 18 -5 0 18 -48 0 -49 36 -22 0 -40 26 -46 -6],31
[10 -48 40 -17 16 27 -37 14 -25 0 -14 -35 -10 38 37],9
[-17 0 -31 21 -38 24 -26 0 -20 -8 46 3 -11 -46 0 28 44 17 -10 0 14 34 43 37],19
[-9 0 0 -9 -3 -48 17 -33 5 50 -4 4 -22 0 6 -47 0 21],16
[-9 -22 -24 0 34 6 -49 0 20 -18 0 -46 5 0 -12 4 10 40 42 -16 4 -39 18 13 0 0 -18 19 -49 29],25
[-37 -19 25 0 -34 -31],3
[0 0 44 -17 19],1
[-14 26 27 -38 28 47 11 42 27 0 17 -3 -34 -39 -29 4 33 41 -29 14 44 5 -49 2 6 -6 40 15 35 15 -46],9
[44 -18 -6 50 0 49 -37 40 23 4 21 -14 35 49 0 0 41 50 1],15
[-24 20 -45 26 0 -50 41 19 0 -36 -13 -34 -10 35 -44 9 0 12 18 -9 -33 -26 22 26 -27 -45 -30 -36 6 -17 -3 42 -13 16 -9 20 44 -10 10 36 0 0 -30 26 50 0 -47],45
[0 17 -25 9 -50 0 0 0 14 7 0 0 28 34 -47 -30 44],11
[20 22 0 -28 -8 -40 30 29 -22 0 -15 0 34 17 6 -35 42 8 0 -19 -39],18
[-24 18 13 34 6 -13 1 -26 -7 -47 -39 -46 3 27 35 -19 41 9 -17 -48 34 -4 16 0 1 -9 -23 36],23
[-35 0 11 -24 50 -29 0 17 37 -39 -47 -17 -42 16 -2 -39 -12 0 -9 0 9 0 -48 5 8 -46],21
[0 -45 -33 0 0 -46 34 -28 47 12 45 9],4
[-46 22 0 -43 0 10 47 46 -49 0 -4 0 38 0 -4 -8 -43 31 -9 29 0 -42 12 -38 -11 -50],20
[-31 -2 38 -12 29 31 46 40 5 0 -48 30 10 0 -1 14 -12 -35 33 -37 0 -25 -2 13 13 26 24 5 15 0 -3 48 -15 -30 20 -1 43 -21 34 35 10 -14 -26 -13 19 -27],29
[0 0 0],2
[-8 11 14 38 30 -24 24 13 -46 14 -11 0 35 -17 31 50 -45 -25 42 -39 15 40 -22 2 -46 41 -41 6 -3 0 50 47 -37 6 8 0 -8 9 22],35
[5 47 0 -28 34 -16 10 10 32 0 9 29 30 46 0 10 -34 0 0],18
[0 18 -7 -8 -43 -29 33 40 40 33 -6 7 7 -6 -8 -48 36 27 -31 40 17 2 -39 -22 22 -20 -12 16 -47 35 17 -32 -50 -22 0 -9 -19 -16 24 10 -45 -47 48 47 0 -48 -28],44
[-4 5 0 26 36 0 -37 5 6 -40 19 -12 -42 2 50 -38 46 45 -44 -35 13 -38 29 31 -44],5
[-8 0 -42 -4 -47 0 -24 44 -5 22 -1 1 23 11 42 25 25 50 -33],5
[22 -34 23 -16 35 -49 26 48 9 -39 27 42 -17 31 -47 44 0 0 0 0 45 0 42 17 0 -39 49 -7 6 -1],24
[33 0 -12 0 12 -29 47 -47 -17 -29 0 0 32 -50 -1 -13 44 -11 -21 0 -16 0 -32 9 -20 -4 -4 34 13 0 -27 20 5 -7 37 -29 -26 7 25 5 48 -22 31 12 33],29
[-39 5 18 47 21 45 27 -46 0 26 -21 -25 -33 -41 29 0 -18 21 48 3 0 0 -46 48 29 -8 16 -43 -30 0 26 7 32 -5 -28 -20 34 35 -28 -47 -10 -27 -8 -4 -29 24 -25 0 -21],47
[0 48 5 0 3 -40 0 49 0 45 -18 4],8
[-34 49 -48 49 30 39 -12 -23 0 14 -14 -13 48 0 -2 7 -49 -19 11 -2 -24 -25 25 -33 -19 16 -9 21 -3 -23 -27 -19 0 42 -25 -31 -16 21 20 -28 29 -10 -37 -45 26 45],32
[0 0 1 0 2 0 0 0],7
[36 -20 0 16 -9 38 -43 -46 0 2 5 -41 4],8
[0 -2 -39 6 0 -36],4
[0 36 0 43 -45 35 -5 8 -3 0 -10 -29 -11 -24],9
[0 0 0 0 13 0],5
[0 38 10 0 -28 15 0 0 0 -35],8
[0 -50 31 0 0 30 0 0],7
[0 23 41 -15 0 30 -19 -11 -31 -9 32 -24 5 48 34 -30 -3 -46 36 28 -4 23 8 -12 36 -17 23 32 -14 -5 -47 11 -49 -10],4
[8 0 27 -42 -46 0 14 0 1 40 39 3 -25 -22 0 -31 -35 -37 4 -11 34 -14 0 -31 -2 -35 -48 -25 35 -42],22
[-16 9 -40 38 -12 22 -24 28 34 -12 -50 48 -18 -24 10 50 -28 -15 0 9 10 -21 42 2 47 -34 22 -41 26 41 -25 34 38 28 4 36 9 16 -7 22 50 16 48 14 24],18
[8 41 0 -30 -34 -46 5 25 -25 27 21 50 -36 -35 -21 11 0 0 -34 1 -15 -26 -5 4 0 21 35 -47],24
[5 13 -24 -32 -46 5 -19 40 24 21 -15 31 40 1 -9 -38 -27 26 -40 46 13 -33 -37 14 8 10 -42 -14 0 0 -44 -39 48 -5 -46 46 0 -9 -21],36
[32 11 27 -16 0 0 0 -10 16 0 0],10
[-34 50 -13 36 2 0 0 -36 8 -45 32 -1 16 49 -28 -3 -38 43 33 -21 -35 -48 -38 0 -42 26 9 48 45],23
[30 34 9 -12 0 31 -11 2 0 -13 0 -26 3 21 7],10
[-50 -46 -37 28 -26 -22 -7 -21 6 30 0 34 -4 -29 -35 -13 42 -20 36 20 3 50 -16],10
[-31 -4 -30 41 -38 2 6 0 0 -4 -39 0 22],11
[48 12 42 -6 -31 -34 9 -47 29 0 4 -30 10 0 34 39 0 44 0 33 -10 -18 44 -5 -5 31 -34 -35 44 -5 25 15 -6 -43 1 3 -10 3 41 23 21 46 49 0],43
[-18 15 47 -43 -23 -22 -29 0 -36 0 13 -24 -30 -33 31 -43 47 -5 0 -19 -31 -38 -44 -2 -21 0 0 28 0 46 7],28
[1 0 31 5 -12 0 0 21 -37],6
[23 -25 18 -13 -3 -19 -27 -19 0 36 -9 -15 -14 -20 5 16 -27 19 -12 -6 9 -30 32 14 39 18 -28 -38 -38 -13 -31 -4 0 0 -50 34 27 -34 -23 4 -7 -6 14 19 0 0 -49],45
[0 -29 -29 0 -15 0 -14 5 0 0],9
[-16 -19 -20 -21 0 0 0 22 0 -19 -22 49 0],12
[-41 50 -4 24 0 0 29 25 37 -34 0 -17 -39 1 0 50 -21 17 0 50 0 -29 -15],20
[32 -13 36 0 -20 -45 42 -45 -32 0 32 27 43 10 39 -21 -36 50 -3 1 0 -15],20
[-6 -5 5 32 -49 -14 49 -18 0 40 48 -34 26 -34 -34 -16 -6 -41 0 46 23 24 23 -31 15 -47 44 -39 -7 -15 1 5 0 -48 13 0],35
[40 -6 -42 38 -6 43 -14 -29 43 29 39 3 0 -28 -16 21 -49 44 0 -42 23 0 40 17 12 3 50 -48 0 -25 0],30
[0 -38 0 -34 0 0 -2 8],5
[0 0 0 0 0 0],5
[30 44 0 39 -44 -31 -14 30 -32 0 47 -48 0 -2 36 -16 26 -45 22 -8 -31 -47 -36 -8 7 42 48 2 19 -26 -40 9 43 -30 4 -16 -18 0 45 -20 42],37
test,
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],36
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],22
[0],0
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],31
[0 0 0 0 0 0],5
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],38
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],35
[0 0 0 0],3
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],24
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],20
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],47
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],29
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],23
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],19
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],28
[0 0 0 0 0 0 0 0 0 0 0],10
[0 0 0 0 0 0 0 0],7
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],48
[0 0 0 0 0 0 0 0 0],8
[0 9 5 -8],0
[0 -8 9 5],0
[5 0 9 -8],1
[5 0 -8 9],1
[-8 0 9 0],3
[0 9 -8 0],3
[0 6 45 -13 27 0 -34 1 -23 29 0 0 36 0 -18 27 32],13
[0 0 0 0],3
[38 2 -16 2 -14 -36 0 -34 1 0 -32 -35 -17 43 -32 -27 -22 -17 23 -38 -36 -32 22 -25 -25 18 -11 -8 40 33 29 -20 44 -34 20 -49 33],9
[-34 -9 41 -37 -38 37 40 42 44 -36 0 49 -28 -48 0 0 -34 -7 4 0 -1 0 -5 -28 -32],21
[-30 -37 -29 41 42 22 9 -18 33 40 -33 30 0 -5 41 25 -26 0 -45 29 19 -25 14 -25 38 -34 24 19 -38 0 -41 -50 -3 2],29
[-31 0 -14 44 35 -11 -42 -42 4 -4 2 -40 0 -45 11 -7 35],12
[-25 22 0 -33 -3 -2 0 0 41 -11],7
[0 -21 16 0 -44 20 -7 -1 0 5 0 41 3 -46 -19 27 0 47 0 36 -24],18
[12 -33 0 -45 43 -27 48 0 -30 47 8],7
[47 0 -47 -41 -2 -36 -3 -12 16 42 41 -11 0 0 0 -37 -7 28 -4 29 -41 28 -33 26],14
[0 -12 -18 19 0 0 35 0 18 7 0 -38 -30 -48 0],14
[0],0
[10 0 32 -17 23 -9 -15 -9 -46 12 -26 0 22 -25 22 18 -36 11 18 1 33 20 0 -30 30 14 -44 27 15 16 19 0 25 29 32 16 -42 47 28 22 6 0 -35 -40 -19 4 42],41
[-36 29 0 -14 0 0 1 -2 0 0 -36 -14 0 -49],12
[-12 37 -4 -38 -35 -24 -5 -31 -45 -12 32 0 0],12
[-14 4 40 -10 21 33 -48 0 0 23 -34 0 14 0 0 -8 -14 3 -15 -10 -5 5 0 -10],22
[21 -7 0 -34 23 0 -50 0 -32 -16 -33 -50 38 -22 25 34 -17 -6 -11 -30 -39 -10 0 39 9 12 -28 -36 9 32 -27 39 28 -50 25 -18 20 -22 26 -34 -11 19 39],22
[0 0 18 -4 0 0 -46 -37],5
[43 0 -27 32 40 41 11 0 -14 13 12 21 33 0 20 33 -23 0 -43 0 50 24 34 16 23 0 -2 32 2 0 0 -35 20 -24 23 -12],30
[0 0 0 0],3
[0 0 -26 -9 -16 19 -48 -9 8 -13 0 0 21 0 -5 30 6 -27 38 -19 -2 19 -48 0 42 -27 -26 41 -24],23
[35 0 0 0 0 1 0 0 8 -17 -16],7
[0 -43 29 -31 43 -47 5],0
[-19 -50 -32 22 0 -34 -22 -38 -13 -5 -44 29 26 -50 -15 -16 19 -6 0],18
[-46 -40 -3 -38 0 20 -13 5 -11 -16 0 -34 1 0 -22 0 17 48 50 23 -41 43 0 -49 0 46],24
[46 0 -49 -26 15 -49 46 2 -49 8 -2 -16 8 -16 22 18 -20 8 14 13 -40 -4 -5],1
[0 -19 31 -3 4 -13 -4 -40 -4 -35 -40 0 31 -31 45 21 23 44 -38 -20 -16 0 -35 -4 -2 -12 37 46 23 -17 0 -19 0],32
[42 19 40 0 34 0 0 -27 8 21 46 21 11 0 -50 -38 -10 -47 0],18
[-22 45 -8 -15 4 -38 -10 -18 5 -3 0 0 28 6 -39 27 23 -29 42 1 31 27 -27 34 -31 0 0 16 -17 -34 -16 13 -5 13 -2 14 0 -18 0 35 49],38
[-14 14 -8 -44 -4 6 -10 -21 18 48 -5 -40 -36 44 -49 -50 33 1 -32 -21 31 32 -20 33 -46 -14 -6 -13 -23 48 -28 0 46 -32 9 -8 45 0 -17 -17 12],37
[-7 0 0 43 3 -29 0 13 28 0 0 -11],10
[45 -50 0 32 29 -8 3 -26 -18 16 -19 50 44 -16 9 -25 -22 12 39 30 49 32 45 0 36 49 -50 -36 -42 25 -45 36 12 0 31 -13],33
[7 0 -23 -37 -19 12 -32 -7 30 4 48 31 -46 -50 3 -34 0 28 -41 18 38 38 -43 -34 0 -47 35 -28 -30 -20 38 -33 1 -42 3 0 40 -39 -40 31 -10 6 10 -21 32],35
[17 50 -17 -37 14 -6 8 6 -23 11 49 -22 20 -5 -40 -40 48 -20 20 14 29 -3 20 26 -36 -1 -10 20 21 -23 -41 23 -47 30 -35 36 0],36
[47 -23 24 17 3 -16 9 -20 0 -28 -1 7 47 16 24 -18 -39 0 40 0 12 29 -49 45 35 3 -23 42 -21 32 -2 -32 40 42 7 -11 -18 40 -16],19
[-27 0 8 12 -23 -3 -45 -6 48 41 43 -37 22 -17 4 1 -31 -9 5 -42 24 39 4 13 19 35 1 -36 11 16 -32 32 2 31 -32 44 -43 30 -38],1
[24 -31 -10 -41 -40 0 -10 -16 -44 39 -26 0 -44 48 42 -32 -26 2 0 -13 -16 -28 23 -38 0 42 0],26
[-49 0 50 -17 -17 18 39 2 -25 -14 -5 23 0 49 39 30 30 36 -19 -33 29 -12 -38 0 0 -2 -44 0 5],27
[0 0 -7 -25 -44 -48 -17 12 6 8 -50 23 0 -7],12
[-29 29 -9 -16 25 4 5 12 36 3 -39 0 6 -13 -14 8 -10 6 -9 -43 14 -22 32 -31 -20 14 -28 -23 22 -26 -13 -45 -50],11
[42 0 -25 4 -1 -5 -5 -44 15 -14 -40 32 0 45 0 40 -30 -18 0 0 15],19
[-28 -25 34 46 -39 -4 38 -23 45 0 -38 11 -29 17 9 3 9 -37 -25 -22 -30 -9 -30 -32 -21 47 22 -15 49 15 44 -7 3 -23],9
[0 32 0 -7 42 -23 6 39],2
[-40 17 -7 2 10 24 -22 40 38 36 31 -31 41 0 49 42 -18 41 7 -16 20 26 34 41 39 -11 31 35 -42 -15 10 0 -29 -19 18 -13 27],31
[41 0 -24 19 7 24 -7 46 46 29 7 23 0 21 -18 -35 0 0 0 29 1 45 -13 -14 11 2 -18 9 3 0 2],29
[0 44 21 20 20 -45 6 36 -37 45 1 0 -35 0 43 32 0 -22 0 31 -24 22 -29 0 -17 6],23
[19 19 14 0 15 -45 -33 -8 -42 -3 -6 32 37 10 43 38 -32 27 23 23 -31 44 -34 -48 37 -5 27 30 35 10],3
[-17 -25 0 -25 2 -10 13 -42 26 46 -45 3 -18 -27 -15 -14 -44 0 0 -6 16 18 0 37 -13 -12 -48 13 -32 -46 39 -40 37 0 -34 46 47 -19 1 -14 45 42 4],33
[-14 -34 41 20 -11 -15 1 47 -49 7 46 -32 6 -32 30 -47 44 -20 -28 31 16 -33 -25 -25 -45 0],25
[6 3 -45 -18 2 -1 24 41 2 0 -40 42 17 1 40 -11 0 40 -10 48 -5 -8 -4 -30 25 -25 -36 -28 -26 -28 -34 -40 46 -42],16
[-28 0 12 0 -45 -7 17 -33 36 3 -43 5 25 1 16 -37 -33 47 0 0],19
[0 -27 -36 -39 -18 -43 8 -6 -40 -42 -36 -16 40 -35 0 -23 7 38 15 0 0 11 -47 -46 39 -29 -49],20
[-30 16 38 -19 34 -7 41 32 -42 -50 -34 41 13 9 9 37 -3 25 -35 -40 -19 -33 28 0 30 29 -5 0 -13 -11 0 0 -13 23 26 0 0 33 49 -22 42 40 -6 -13 26 -19],36
[0 49 0 49 0 -15 -1 0 21 20 0 0 15 38],11
[1 -33 -17 13 0 -13 7 -7 0 40 0 -42 22 -8 6 0 32 0 0 40 12 22 11],18
[-25 -5 2 -35 0 45 38 -9 12 -49 0 -9 18 -29 -28 0 36 -26 21 38 0 14 -25 29 33 0 49 0 -10 -20 25 11 -5 31 36 -37 8 -12 -12 -1],27
[26 -40 34 47 -31 11 18 23 26 -4 -10 -17 35 12 0 0 -42 -16 -2 -4 -38 -20 -36 34 -29 -17 -50 -28 5 47 -27 37 36 -22 -42],15
[0 23 12 0 -45 -50 6 0 29 0],9
[-45 24 2 21 -28 -45 -30 23 -50 15 0 -29 1 -22 -29 -47 0 -16 22 -6 3 -49 21 17 -10 23 34 48 -2 4 -37 18 9 -22 -7 -27 -40 11 -24 0],39
[-2 0 49 -25 -18 1 -14 -48 -49 -20 -10 35 -29 -47 0 40 0 -19 -32 -4 2 0 -35 -3 5 0 7 -33 -14 45 -32 0 35 7 27 -32 0 1 7 48 30 32 -11],36
[-2 7 -48 9 50 3 -29 -19 -43 -10 46 17 -38 30 20 -36 0 49 28 17 -45 0 -41 -35 -8 39 -3 1 43 -41 -24 -16 -33],21
[14 9 44 6 34 0 33 29 -41 25 25 -21 43 -8 -25],5
[-37 48 4 49 49 -40 -29 -23 0 3 -34 0 47 22 15 -34 -33 34 6 -49 -3 -16 0 -47 -20 23 0 0 47 -10 17 -13 25],27
[-41 0 0 -44 0 32 -14 0 26 0 18],9
[0 -2 50 -24],0
[0 -44 -50 0 -12 5 3 8 0 14 -8 18 40 38 18 22 -5 0 -33 23 -1 -10 33 33 -28 -28 -30 -38 -33 0 16 30 -7 -27 -10 -16 -31 5 16 -28 33 23 12 -25 33 6 0 41 3],46
[-17 36 -22 -45 -1 12 16 22 -47 48 36 0 19 0 38 2 -39 -26 10 0],19
[0 0 0 0 0],4
[-36 -42 -27 31 31 39 0 -41 16 -25 1 -12 -21 20 31 28 13 -42 28 41 -19 -21 34 -49 -7 -29 26 28 50 33 38 9 -3 -40 32 -36 -27 8 -41 -12 43],6
[-25 0 -22 -30 22 0 -27 0 -1 1 0 0 45 45 17],11
[-16 26 0 0 -37 46 -18 -42 -49 13 25 39 28 -38 14 -24 0 -14 -44 -11 -43 2 -2 0 -50],23
[0 6 -23 -29 21 27 9 -42 0 23 -36 9 -2 -48 3 -41 39],8
[-44 -38 38 17 5 -5 -36 36 9 1 46 -38 49 2 0 31 0 43 0 16 46 45 0],22
[-13 0 -34 -29 -36 19 -14 47 -38 44 1 0 46 -18 34 -22 14 31 5 8 -1 20 3 -5 -4 20 -12 -36 36 -34 -31 4 -3 11 0 12 6 24 -28 10 20],34
[0 -32 5 -50 -25 0 -26 47 0 -15 -41 6 21],8
[-18 0 -37 -18 10 17 18 -22 49 -15 42 -31 36 38 -8 49 -46 -17 -42 0 26 -9 -50 -24 -41 31 -13 -16 -50 30 22 34 21 29 -3],19
[-16 21 5 26 10 -28 14 -25 43 0 22 -5 20 2 29 28 -8 -24 -23 30 -3 -34 -46 28 48 21 0 49 16 -14 14 0 -47 -12 0],34
[16 33 -36 -27 -40 33 31 44 23 31 16 34 36 6 -36 -27 41 46 -41 12 49 0 49 -9 6 -37 -13 -15 -39 -24 -9 35 42 -30 -41 -8 50 -6 0 -36 -27 -6 -22 31],38
[0 10 -47 4 0 5 0 -45 34 46 48 -33 -37 0 -36 23 12 -33 -37 0 47 -10 -4 -42 26 0 0 28 -33],26
[10 46 22 -6 5 45 -6 34 38 27 -41 8 -9 -1 5 -43 -8 -44 42 15 -49 15 23 0 16 -29 29],23
[6 34 -25 41 -50 -15 34 33 -50 26 0 -40 25 13 -21 6 -32 -39 -1 33 27 27 -46 6 3 35 -10 31 25 -24 -39 -28 -18 36 22],10
[34 -42 -11 42 -1 -42 -25 -16 21 46 37 20 -48 -31 -33 -36 -26 -22 39 39 -15 0 -31 -49 16 50 -27 6 50 0 5 0 -15 34 -14 -49 30 22 38 -25 -32],31
[30 35 27 -36 -13 46 -28 -32 0 35 0 19 24 -1 0 44 -44 -20 -11 -5 -42 23 34 -48 -13 15 -9 -27 -29 28 36 -5 -35 -18 16 -31 9 -20 19 -25 9 48 1 0 -29],43
[-43 -30 22 -46 24 0 -37 8 30 8 -33 2 0 -22 -10 32 -35 6 -41 7 -1 5 2 -22 -36 45 -47 -37 0 -25 -44 7 36 42 0 40 3],34
[0 0 -33 -49 48 38 38 38 33 1 -50 0 0],12
[0 23 -48 45 -10 23 0 33 7 -39 13 0 -41 18 24 0 23 0 -33 0 30],19
[0 -50 28 36 14 26 -44 50 -8 -28 0 6 20 -3 14 0 2 0 -6 0 26 43 5 -43 7 -45],19
[6 14 14 -16 -21 22 4 -25 33 41 15 0 0 -9 3 0 -30 0 22 40 -10 -10 14 43 -22 16 -19 35 49 -30 39 47 0 -43 -30 29 -20 36 -31 35 6 5 26 49 42],32
[0 21 -28 -21 31 0 -49 0 0 0 8 0],11
[0 30 0 -50 0 0 0 0 3],7
[0 -47 27 -10 -46],0
