train_input_1,train_input_2,train_input_3,train_input_4,train_input_5,train_output_1
98,96,84,17,66,Student has a D grade.
98,61,28,19,38,Student has a C grade.
71,34,33,3,49,Student has a B grade.
85,69,35,11,67,Student has a C grade.
78,57,47,15,61,Student has a B grade.
95,94,45,31,32,Student has a D grade.
100,63,50,25,57,Student has a C grade.
68,58,39,11,19,Student has a D grade.
55,33,6,4,15,Student has a C grade.
58,39,37,22,66,Student has a A grade.
73,53,30,12,10,Student has a F grade.
96,53,45,6,9,Student has a D grade.
70,49,41,29,62,Student has a B grade.
78,57,11,10,73,Student has a B grade.
98,96,55,43,36,Student has a F grade.
74,45,17,11,28,Student has a C grade.
69,56,29,15,60,Student has a B grade.
78,40,35,20,20,Student has a D grade.
84,37,10,6,74,Student has a B grade.
87,33,18,13,25,Student has a C grade.
74,55,52,23,69,Student has a B grade.
87,74,59,51,55,Student has a D grade.
66,59,17,13,16,Student has a D grade.
78,77,67,45,76,Student has a C grade.
38,35,25,15,63,Student has a A grade.
100,44,11,2,54,Student has a B grade.
98,72,51,35,85,Student has a B grade.
69,38,22,2,73,Student has a A grade.
78,44,19,15,42,Student has a C grade.
61,59,53,48,65,Student has a A grade.
88,86,51,34,82,Student has a C grade.
70,65,58,57,88,Student has a A grade.
93,89,32,2,42,Student has a C grade.
49,48,39,34,48,Student has a B grade.
74,46,18,17,51,Student has a B grade.
87,57,54,40,65,Student has a B grade.
95,72,28,21,37,Student has a C grade.
76,65,64,47,16,Student has a F grade.
89,66,57,33,92,Student has a A grade.
83,71,25,24,81,Student has a B grade.
93,62,35,2,7,Student has a D grade.
95,81,44,39,1,Student has a F grade.
47,18,6,3,64,Student has a A grade.
93,74,42,2,63,Student has a C grade.
90,80,6,0,22,Student has a C grade.
93,73,63,48,41,Student has a F grade.
81,72,58,21,62,Student has a C grade.
66,63,27,14,22,Student has a D grade.
69,37,32,21,3,Student has a F grade.
93,67,60,51,59,Student has a D grade.
89,51,34,23,19,Student has a F grade.
92,71,69,64,61,Student has a F grade.
100,98,15,14,13,Student has a F grade.
87,68,5,1,86,Student has a B grade.
98,87,17,16,61,Student has a C grade.
75,58,13,2,75,Student has a A grade.
96,92,59,8,4,Student has a F grade.
99,76,57,18,91,Student has a B grade.
95,46,23,14,42,Student has a C grade.
29,24,5,1,73,Student has a A grade.
91,87,50,30,59,Student has a C grade.
91,81,62,20,1,Student has a F grade.
73,67,51,16,11,Student has a F grade.
79,78,49,4,44,Student has a D grade.
90,24,2,1,92,Student has a A grade.
70,68,52,38,56,Student has a C grade.
69,64,38,14,35,Student has a D grade.
93,63,55,41,48,Student has a D grade.
63,22,15,7,84,Student has a A grade.
72,71,61,21,55,Student has a D grade.
83,75,68,61,50,Student has a F grade.
98,47,42,17,10,Student has a F grade.
88,39,35,0,88,Student has a A grade.
84,76,69,22,80,Student has a B grade.
88,72,39,20,28,Student has a D grade.
92,48,44,5,75,Student has a B grade.
86,56,40,35,71,Student has a B grade.
76,43,34,25,37,Student has a C grade.
94,68,61,41,87,Student has a B grade.
47,36,30,28,29,Student has a D grade.
66,48,46,43,20,Student has a F grade.
93,62,56,5,10,Student has a D grade.
92,62,48,1,14,Student has a D grade.
74,71,67,23,60,Student has a D grade.
86,73,53,46,37,Student has a F grade.
88,67,23,16,15,Student has a F grade.
67,53,37,18,27,Student has a D grade.
55,49,39,38,39,Student has a C grade.
58,51,18,9,91,Student has a A grade.
97,67,22,2,67,Student has a B grade.
86,72,53,16,69,Student has a C grade.
79,65,51,22,49,Student has a D grade.
63,36,9,0,67,Student has a A grade.
49,44,13,9,89,Student has a A grade.
64,42,41,1,21,Student has a D grade.
91,38,22,10,33,Student has a C grade.
85,79,64,16,97,Student has a A grade.
82,69,20,3,16,Student has a D grade.
82,54,38,7,37,Student has a D grade.
63,48,46,4,62,Student has a B grade.
83,80,46,37,86,Student has a A grade.
77,71,34,29,42,Student has a C grade.
77,68,60,53,46,Student has a F grade.
78,66,51,2,54,Student has a C grade.
39,31,25,23,91,Student has a A grade.
87,63,57,23,94,Student has a A grade.
58,35,24,11,63,Student has a A grade.
63,55,50,19,34,Student has a D grade.
95,78,41,34,95,Student has a A grade.
63,38,9,8,60,Student has a B grade.
95,79,63,26,51,Student has a D grade.
88,78,44,12,69,Student has a C grade.
87,65,61,23,72,Student has a B grade.
61,34,9,3,16,Student has a C grade.
69,48,39,37,93,Student has a A grade.
100,99,12,4,98,Student has a C grade.
81,80,33,4,41,Student has a C grade.
98,55,36,35,38,Student has a C grade.
96,34,22,21,35,Student has a B grade.
97,41,26,13,40,Student has a C grade.
71,50,13,4,84,Student has a A grade.
89,62,25,12,74,Student has a B grade.
96,88,24,12,69,Student has a C grade.
68,60,22,17,60,Student has a B grade.
94,83,40,28,24,Student has a F grade.
74,60,44,23,97,Student has a A grade.
50,18,2,1,53,Student has a A grade.
100,96,57,29,77,Student has a C grade.
87,52,27,17,86,Student has a B grade.
79,77,47,20,83,Student has a A grade.
65,44,27,24,58,Student has a B grade.
77,61,22,7,58,Student has a C grade.
test_input_1,test_input_2,test_input_3,test_input_4,test_input_5,test_output_1
88,70,68,12,97,Student has a A grade.
83,70,56,1,8,Student has a D grade.
55,46,45,14,70,Student has a A grade.
90,84,28,22,8,Student has a F grade.
99,74,49,34,79,Student has a B grade.
94,74,29,28,94,Student has a A grade.
89,86,65,27,14,Student has a F grade.
84,41,24,10,42,Student has a B grade.
65,45,7,2,5,Student has a D grade.
100,29,16,9,95,Student has a B grade.
96,67,50,5,65,Student has a C grade.
87,71,44,38,63,Student has a C grade.
94,72,61,7,7,Student has a D grade.
70,64,58,19,68,Student has a B grade.
95,89,77,29,52,Student has a D grade.
72,61,49,5,68,Student has a B grade.
74,62,36,34,47,Student has a C grade.
59,26,5,0,95,Student has a A grade.
75,49,37,16,49,Student has a B grade.
85,55,10,3,52,Student has a C grade.
100,35,16,0,42,Student has a B grade.
84,82,19,6,100,Student has a A grade.
92,51,36,24,57,Student has a B grade.
98,72,70,60,9,Student has a F grade.
51,47,40,21,85,Student has a A grade.
93,77,73,4,10,Student has a D grade.
60,56,32,21,55,Student has a C grade.
97,41,7,4,52,Student has a B grade.
83,64,57,50,43,Student has a F grade.
100,88,46,5,32,Student has a D grade.
57,54,27,12,42,Student has a C grade.
73,55,53,48,91,Student has a A grade.
69,39,17,15,94,Student has a A grade.
89,67,65,63,79,Student has a B grade.
73,23,15,14,2,Student has a F grade.
51,50,45,20,98,Student has a A grade.
85,78,73,39,82,Student has a B grade.
91,74,49,33,40,Student has a D grade.
86,46,2,0,92,Student has a A grade.
68,25,24,7,92,Student has a A grade.
40,25,16,13,79,Student has a A grade.
83,77,73,40,54,Student has a D grade.
76,56,23,3,39,Student has a C grade.
75,35,15,13,22,Student has a C grade.
91,39,18,1,29,Student has a C grade.
88,83,60,36,23,Student has a F grade.
69,62,52,5,81,Student has a A grade.
87,62,24,19,5,Student has a F grade.
100,97,65,39,14,Student has a F grade.
65,39,24,6,33,Student has a C grade.
94,93,74,36,28,Student has a F grade.
40,35,25,1,95,Student has a A grade.
92,65,45,43,40,Student has a F grade.
97,85,76,14,21,Student has a D grade.
75,70,36,7,89,Student has a A grade.
85,66,52,37,51,Student has a D grade.
63,20,18,4,68,Student has a A grade.
71,64,59,36,89,Student has a A grade.
90,63,35,20,49,Student has a C grade.
94,53,46,17,94,Student has a A grade.
93,72,27,17,15,Student has a F grade.
84,80,25,4,8,Student has a D grade.
70,64,35,9,32,Student has a D grade.
66,43,38,25,92,Student has a A grade.
65,37,25,11,83,Student has a A grade.
99,81,43,35,39,Student has a D grade.
97,63,60,27,48,Student has a D grade.
90,67,54,22,33,Student has a D grade.
89,84,76,66,2,Student has a F grade.
41,23,7,3,12,Student has a C grade.
89,82,27,9,68,Student has a C grade.
96,59,39,0,46,Student has a C grade.
87,63,50,35,56,Student has a C grade.
61,47,46,40,70,Student has a A grade.
95,78,76,10,62,Student has a D grade.
99,76,70,6,64,Student has a D grade.
96,50,39,34,61,Student has a B grade.
78,67,47,36,74,Student has a B grade.
72,65,52,19,45,Student has a D grade.
75,44,19,4,44,Student has a B grade.
44,35,9,2,21,Student has a C grade.
74,49,28,26,68,Student has a B grade.
88,48,47,25,59,Student has a B grade.
71,30,24,10,61,Student has a B grade.
86,54,43,32,71,Student has a B grade.
77,59,49,7,92,Student has a A grade.
86,83,72,60,54,Student has a F grade.
96,94,91,64,2,Student has a F grade.
85,77,71,6,62,Student has a D grade.
68,43,33,5,31,Student has a D grade.
36,31,14,13,43,Student has a A grade.
99,53,42,0,52,Student has a C grade.
84,64,45,10,7,Student has a F grade.
79,67,23,1,81,Student has a A grade.
71,46,39,38,96,Student has a A grade.
97,89,66,62,33,Student has a F grade.
91,63,59,18,65,Student has a B grade.
87,85,55,34,35,Student has a D grade.
90,88,43,1,35,Student has a D grade.
66,62,49,31,9,Student has a F grade.
87,86,85,20,56,Student has a D grade.
87,80,66,22,26,Student has a D grade.
95,94,32,8,37,Student has a C grade.
99,68,55,5,19,Student has a D grade.
61,60,45,30,89,Student has a A grade.
93,71,42,9,71,Student has a B grade.
49,41,24,3,94,Student has a A grade.
99,63,58,32,63,Student has a B grade.
92,49,34,23,12,Student has a F grade.
95,92,79,69,38,Student has a F grade.
46,44,11,10,49,Student has a A grade.
66,45,26,11,11,Student has a D grade.
92,20,14,7,5,Student has a F grade.
72,58,34,29,79,Student has a A grade.
94,93,74,10,69,Student has a D grade.
58,50,19,17,89,Student has a A grade.
87,68,52,25,14,Student has a F grade.
52,46,26,21,21,Student has a D grade.
91,47,30,20,97,Student has a A grade.
81,62,43,29,58,Student has a C grade.
78,35,32,18,31,Student has a D grade.
44,33,20,11,45,Student has a A grade.
70,61,56,26,39,Student has a D grade.
97,80,47,45,89,Student has a B grade.
95,89,72,49,36,Student has a F grade.
79,24,10,3,41,Student has a B grade.
42,23,22,11,34,Student has a B grade.
95,52,48,36,56,Student has a B grade.
94,84,82,5,58,Student has a D grade.
71,27,2,1,19,Student has a C grade.
88,66,65,29,80,Student has a B grade.
92,60,46,7,73,Student has a B grade.
63,11,3,0,69,Student has a A grade.
88,37,36,34,78,Student has a B grade.
93,79,70,29,37,Student has a D grade.
76,70,45,28,33,Student has a D grade.
65,41,36,30,90,Student has a A grade.
87,25,18,13,16,Student has a D grade.
100,69,32,8,1,Student has a F grade.
85,82,35,13,96,Student has a A grade.
94,73,54,12,88,Student has a B grade.
89,65,40,37,60,Student has a C grade.
82,47,42,35,72,Student has a B grade.
70,61,49,26,91,Student has a A grade.
81,52,28,6,4,Student has a F grade.
98,43,23,1,37,Student has a C grade.
69,64,41,6,43,Student has a C grade.
50,32,18,0,7,Student has a D grade.
88,78,34,19,96,Student has a A grade.
77,69,55,6,1,Student has a F grade.
86,62,29,12,68,Student has a B grade.
94,22,16,13,2,Student has a F grade.
74,55,36,35,74,Student has a A grade.
82,55,48,2,69,Student has a B grade.
96,58,5,4,17,Student has a C grade.
99,56,25,17,100,Student has a A grade.
81,26,25,13,25,Student has a C grade.
32,28,24,7,38,Student has a A grade.
86,70,62,49,70,Student has a B grade.
54,53,44,10,76,Student has a A grade.
87,39,26,14,76,Student has a B grade.
81,34,10,3,18,Student has a C grade.
68,67,55,40,8,Student has a F grade.
84,74,37,35,45,Student has a C grade.
95,88,20,13,75,Student has a C grade.
91,60,33,24,39,Student has a C grade.
94,71,53,29,97,Student has a A grade.
92,72,33,1,80,Student has a B grade.
55,49,27,8,100,Student has a A grade.
90,47,31,6,75,Student has a B grade.
72,62,52,38,62,Student has a B grade.
59,44,41,19,78,Student has a A grade.
90,69,24,11,42,Student has a C grade.
91,52,30,27,2,Student has a F grade.
84,56,52,51,17,Student has a F grade.
99,88,48,25,49,Student has a C grade.
92,43,30,28,5,Student has a F grade.
79,70,53,1,74,Student has a B grade.
98,59,11,6,39,Student has a C grade.
89,62,56,23,52,Student has a D grade.
89,81,75,5,24,Student has a D grade.
82,41,30,27,3,Student has a F grade.
62,60,21,12,40,Student has a C grade.
90,82,43,17,13,Student has a F grade.
92,81,37,3,34,Student has a D grade.
100,97,35,18,72,Student has a C grade.
88,86,45,33,83,Student has a C grade.
94,86,38,27,50,Student has a C grade.
65,48,44,6,9,Student has a D grade.
88,67,22,11,36,Student has a C grade.
86,80,63,16,34,Student has a D grade.
92,51,4,1,57,Student has a B grade.
70,57,54,12,17,Student has a D grade.
50,36,30,20,82,Student has a A grade.
95,65,35,21,72,Student has a B grade.
64,31,30,28,78,Student has a A grade.
84,65,31,20,26,Student has a D grade.
43,31,24,6,34,Student has a B grade.
97,70,58,18,37,Student has a D grade.
99,27,10,1,29,Student has a B grade.
96,92,44,21,40,Student has a D grade.
67,51,25,8,26,Student has a C grade.
95,34,27,16,44,Student has a B grade.
75,71,53,46,49,Student has a D grade.
85,52,48,9,31,Student has a D grade.
63,46,37,8,92,Student has a A grade.
53,51,50,15,47,Student has a D grade.
77,63,18,3,21,Student has a C grade.
48,41,22,6,43,Student has a B grade.
79,62,28,11,70,Student has a B grade.
78,64,51,42,87,Student has a A grade.
57,49,22,15,4,Student has a F grade.
100,88,19,15,89,Student has a B grade.
77,64,50,22,25,Student has a D grade.
77,27,20,18,24,Student has a C grade.
93,72,60,26,40,Student has a D grade.
94,79,21,2,94,Student has a A grade.
65,61,39,38,49,Student has a C grade.
76,59,55,32,70,Student has a B grade.
82,77,72,34,85,Student has a A grade.
93,92,51,32,49,Student has a D grade.
99,76,38,32,12,Student has a F grade.
64,61,17,6,47,Student has a C grade.
90,43,35,1,61,Student has a B grade.
100,90,75,21,40,Student has a D grade.
83,74,37,4,41,Student has a C grade.
96,74,68,36,15,Student has a F grade.
100,75,27,0,97,Student has a B grade.
91,73,55,30,66,Student has a C grade.
90,86,66,52,5,Student has a F grade.
50,49,36,30,39,Student has a C grade.
88,79,49,41,30,Student has a F grade.
43,39,29,0,16,Student has a D grade.
74,64,49,10,25,Student has a D grade.
79,49,10,6,19,Student has a C grade.
83,82,33,24,100,Student has a A grade.
89,63,56,28,98,Student has a A grade.
31,24,12,5,35,Student has a A grade.
70,60,52,4,56,Student has a C grade.
89,80,24,18,54,Student has a C grade.
75,72,45,8,89,Student has a A grade.
90,73,64,29,34,Student has a D grade.
97,55,44,28,13,Student has a F grade.
71,47,18,15,16,Student has a D grade.
64,62,15,3,68,Student has a A grade.
96,71,34,3,7,Student has a D grade.
81,64,36,13,94,Student has a A grade.
89,80,28,24,89,Student has a A grade.
40,34,21,6,19,Student has a D grade.
57,48,41,22,51,Student has a B grade.
96,91,78,2,2,Student has a D grade.
65,55,51,22,0,Student has a F grade.
84,64,26,10,59,Student has a C grade.
91,82,41,39,25,Student has a F grade.
98,91,42,28,59,Student has a C grade.
59,43,41,26,16,Student has a F grade.
69,48,43,8,36,Student has a D grade.
80,73,60,29,77,Student has a B grade.
100,85,64,25,64,Student has a C grade.
90,86,36,32,46,Student has a C grade.
78,73,19,11,30,Student has a C grade.
84,82,58,2,12,Student has a D grade.
73,70,29,20,27,Student has a D grade.
91,45,42,41,9,Student has a F grade.
72,44,25,17,72,Student has a A grade.
68,28,11,5,81,Student has a A grade.
24,22,18,11,35,Student has a A grade.
86,76,16,10,32,Student has a C grade.
61,48,27,3,26,Student has a D grade.
100,98,62,35,11,Student has a F grade.
95,79,28,12,7,Student has a F grade.
88,69,22,6,6,Student has a D grade.
75,33,14,5,7,Student has a D grade.
91,51,33,28,49,Student has a C grade.
69,60,39,25,89,Student has a A grade.
91,48,45,22,40,Student has a D grade.
86,68,61,35,80,Student has a B grade.
64,55,34,7,63,Student has a B grade.
65,54,30,24,22,Student has a F grade.
97,77,33,14,31,Student has a D grade.
83,68,49,13,10,Student has a F grade.
85,53,41,17,92,Student has a A grade.
87,61,57,11,19,Student has a D grade.
87,74,57,14,55,Student has a D grade.
82,33,27,18,74,Student has a B grade.
91,74,70,60,55,Student has a F grade.
82,11,5,1,55,Student has a B grade.
90,54,10,7,46,Student has a C grade.
100,95,85,51,73,Student has a D grade.
94,91,87,15,60,Student has a D grade.
93,87,9,8,84,Student has a C grade.
98,68,64,42,94,Student has a B grade.
71,68,49,4,89,Student has a A grade.
86,61,46,43,4,Student has a F grade.
60,50,27,14,82,Student has a A grade.
83,56,35,22,14,Student has a F grade.
76,73,72,4,90,Student has a A grade.
92,63,56,31,75,Student has a B grade.
60,39,14,7,89,Student has a A grade.
72,52,39,13,6,Student has a F grade.
65,61,58,44,28,Student has a F grade.
67,37,29,17,10,Student has a F grade.
100,84,63,1,16,Student has a D grade.
96,45,39,12,59,Student has a B grade.
47,46,40,28,9,Student has a F grade.
80,76,72,63,61,Student has a F grade.
40,28,23,0,82,Student has a A grade.
75,67,25,12,79,Student has a A grade.
84,80,55,36,75,Student has a C grade.
94,76,26,14,63,Student has a C grade.
94,83,31,16,21,Student has a D grade.
79,59,50,31,96,Student has a A grade.
94,44,8,6,26,Student has a C grade.
67,44,24,23,60,Student has a B grade.
58,41,16,6,9,Student has a D grade.
97,48,44,15,52,Student has a B grade.
68,34,16,10,83,Student has a A grade.
95,47,45,10,10,Student has a D grade.
76,68,11,10,81,Student has a A grade.
95,68,62,22,87,Student has a B grade.
52,29,19,1,76,Student has a A grade.
32,27,15,5,38,Student has a A grade.
86,61,51,13,45,Student has a D grade.
79,71,22,18,92,Student has a A grade.
90,82,66,1,53,Student has a D grade.
67,44,39,11,51,Student has a B grade.
99,28,24,4,39,Student has a B grade.
89,49,48,24,68,Student has a B grade.
77,56,35,20,19,Student has a F grade.
84,44,14,6,28,Student has a C grade.
59,41,32,28,84,Student has a A grade.
94,61,38,25,16,Student has a F grade.
92,85,39,24,31,Student has a D grade.
87,76,66,53,21,Student has a F grade.
98,91,63,16,40,Student has a D grade.
77,74,53,2,0,Student has a F grade.
57,27,26,8,69,Student has a A grade.
86,81,11,10,91,Student has a A grade.
67,60,56,37,64,Student has a B grade.
56,44,21,18,66,Student has a A grade.
97,85,38,33,19,Student has a F grade.
74,66,23,11,93,Student has a A grade.
84,51,40,12,56,Student has a B grade.
93,66,56,52,78,Student has a B grade.
62,37,18,14,93,Student has a A grade.
82,53,14,2,35,Student has a C grade.
100,96,42,26,74,Student has a C grade.
79,60,26,3,53,Student has a C grade.
97,69,61,4,44,Student has a D grade.
87,84,80,21,18,Student has a F grade.
84,67,26,6,77,Student has a B grade.
55,44,23,22,51,Student has a B grade.
75,49,28,0,95,Student has a A grade.
58,52,7,4,95,Student has a A grade.
85,35,34,17,54,Student has a B grade.
97,59,38,37,77,Student has a B grade.
99,83,72,46,31,Student has a F grade.
75,42,28,4,68,Student has a B grade.
88,76,66,55,76,Student has a B grade.
46,30,27,18,65,Student has a A grade.
63,57,28,18,95,Student has a A grade.
100,71,39,19,63,Student has a C grade.
95,86,65,21,53,Student has a D grade.
97,82,16,6,11,Student has a D grade.
91,79,77,40,63,Student has a D grade.
84,58,29,7,1,Student has a F grade.
85,39,23,18,82,Student has a B grade.
84,41,35,13,94,Student has a A grade.
99,95,72,37,73,Student has a C grade.
96,91,84,25,23,Student has a F grade.
89,73,58,23,67,Student has a C grade.
100,98,83,63,20,Student has a F grade.
72,62,50,44,11,Student has a F grade.
87,66,44,14,12,Student has a F grade.
87,56,36,20,91,Student has a A grade.
66,59,52,32,0,Student has a F grade.
93,86,21,17,74,Student has a C grade.
83,50,20,17,89,Student has a A grade.
58,55,52,38,57,Student has a B grade.
64,60,41,1,81,Student has a A grade.
88,47,7,1,73,Student has a B grade.
88,25,22,0,73,Student has a B grade.
97,51,47,31,80,Student has a B grade.
59,44,35,27,24,Student has a F grade.
74,40,24,23,91,Student has a A grade.
92,69,53,20,76,Student has a B grade.
66,24,22,21,99,Student has a A grade.
38,21,20,16,94,Student has a A grade.
100,37,24,13,2,Student has a F grade.
55,51,48,25,44,Student has a D grade.
95,72,65,13,3,Student has a F grade.
100,82,30,17,31,Student has a C grade.
54,22,6,0,97,Student has a A grade.
96,77,74,2,73,Student has a D grade.
93,80,73,27,79,Student has a C grade.
87,31,17,7,83,Student has a B grade.
100,42,13,7,93,Student has a B grade.
80,77,48,21,19,Student has a F grade.
62,37,30,18,69,Student has a A grade.
83,50,11,0,46,Student has a C grade.
38,34,26,12,5,Student has a F grade.
81,56,34,20,100,Student has a A grade.
57,33,26,25,82,Student has a A grade.
68,51,9,1,89,Student has a A grade.
100,90,68,38,59,Student has a D grade.
92,76,69,4,53,Student has a D grade.
88,26,23,2,64,Student has a B grade.
95,37,33,29,80,Student has a B grade.
53,51,20,11,12,Student has a D grade.
65,26,3,0,20,Student has a C grade.
93,62,32,22,35,Student has a C grade.
87,66,51,0,69,Student has a B grade.
88,85,69,67,65,Student has a F grade.
83,53,50,18,11,Student has a F grade.
82,73,68,33,7,Student has a F grade.
81,61,6,2,51,Student has a C grade.
23,18,9,5,28,Student has a A grade.
87,75,63,36,30,Student has a F grade.
92,71,27,7,40,Student has a C grade.
70,65,50,17,73,Student has a A grade.
48,39,7,5,46,Student has a B grade.
83,40,16,15,11,Student has a F grade.
79,57,18,8,10,Student has a D grade.
77,67,41,10,76,Student has a B grade.
90,84,17,16,26,Student has a C grade.
53,43,20,13,16,Student has a D grade.
93,91,19,16,62,Student has a C grade.
62,45,22,18,29,Student has a C grade.
81,25,22,3,11,Student has a D grade.
99,91,69,27,70,Student has a C grade.
97,50,39,1,10,Student has a D grade.
83,79,38,24,44,Student has a C grade.
93,82,44,19,9,Student has a F grade.
80,66,41,25,73,Student has a B grade.
64,47,32,29,95,Student has a A grade.
90,85,72,11,55,Student has a D grade.
100,67,38,0,5,Student has a D grade.
87,73,54,30,22,Student has a F grade.
94,92,87,46,37,Student has a F grade.
84,65,11,5,54,Student has a C grade.
39,27,26,10,48,Student has a A grade.
49,23,10,3,29,Student has a B grade.
61,53,45,36,53,Student has a B grade.
98,78,66,21,42,Student has a D grade.
71,36,18,5,13,Student has a D grade.
89,20,17,10,76,Student has a B grade.
95,92,63,27,53,Student has a D grade.
55,42,37,20,28,Student has a D grade.
89,67,53,1,66,Student has a C grade.
48,30,22,6,27,Student has a C grade.
89,80,38,26,30,Student has a D grade.
84,74,51,19,48,Student has a D grade.
99,88,45,43,38,Student has a F grade.
100,58,21,13,0,Student has a F grade.
88,66,37,27,59,Student has a C grade.
78,35,23,8,54,Student has a B grade.
84,62,35,27,74,Student has a B grade.
39,36,19,11,12,Student has a D grade.
76,60,25,4,89,Student has a A grade.
97,71,50,13,84,Student has a B grade.
88,52,30,20,20,Student has a D grade.
81,33,8,5,28,Student has a C grade.
67,30,20,8,7,Student has a F grade.
37,24,20,3,51,Student has a A grade.
46,36,33,31,92,Student has a A grade.
99,94,77,1,76,Student has a D grade.
53,40,26,4,99,Student has a A grade.
87,69,51,23,60,Student has a C grade.
48,47,39,32,42,Student has a C grade.
65,62,25,14,65,Student has a A grade.
91,72,70,44,53,Student has a D grade.
99,87,73,34,54,Student has a D grade.
92,81,58,21,51,Student has a D grade.
79,62,46,30,23,Student has a F grade.
44,42,3,0,75,Student has a A grade.
55,51,46,41,58,Student has a A grade.
85,71,48,22,70,Student has a C grade.
53,39,28,8,30,Student has a C grade.
68,30,16,2,4,Student has a D grade.
92,86,68,8,68,Student has a C grade.
81,77,71,69,56,Student has a F grade.
75,53,24,16,48,Student has a C grade.
74,15,12,4,57,Student has a B grade.
81,57,45,25,43,Student has a D grade.
73,53,47,44,55,Student has a B grade.
89,76,57,38,30,Student has a F grade.
51,41,31,15,40,Student has a C grade.
71,62,38,23,96,Student has a A grade.
94,60,46,5,20,Student has a D grade.
100,67,23,13,71,Student has a B grade.
76,33,32,7,92,Student has a A grade.
95,61,60,35,60,Student has a C grade.
91,84,71,21,73,Student has a C grade.
98,84,60,14,28,Student has a D grade.
68,52,39,17,51,Student has a C grade.
80,66,62,44,79,Student has a B grade.
89,86,74,68,4,Student has a F grade.
92,91,70,34,50,Student has a D grade.
71,34,21,7,30,Student has a C grade.
76,69,9,5,42,Student has a C grade.
80,79,59,46,12,Student has a F grade.
86,84,55,3,34,Student has a D grade.
76,75,48,39,27,Student has a F grade.
92,90,10,1,20,Student has a C grade.
98,93,69,8,99,Student has a A grade.
81,31,25,19,93,Student has a A grade.
96,81,35,28,91,Student has a B grade.
90,43,41,24,85,Student has a B grade.
98,23,15,11,75,Student has a B grade.
90,55,46,41,96,Student has a A grade.
97,53,39,35,14,Student has a F grade.
98,57,48,29,44,Student has a D grade.
92,62,45,28,65,Student has a B grade.
90,78,66,16,11,Student has a F grade.
88,57,30,1,72,Student has a B grade.
79,65,61,13,2,Student has a F grade.
96,80,48,30,94,Student has a B grade.
89,52,23,16,58,Student has a B grade.
63,52,49,41,10,Student has a F grade.
100,77,34,12,65,Student has a C grade.
97,34,26,21,91,Student has a B grade.
45,38,24,21,47,Student has a A grade.
100,92,69,22,14,Student has a F grade.
98,92,49,41,94,Student has a B grade.
88,85,23,11,79,Student has a C grade.
97,20,15,2,36,Student has a B grade.
85,65,51,44,4,Student has a F grade.
47,28,21,20,65,Student has a A grade.
92,78,73,50,46,Student has a F grade.
57,50,30,2,11,Student has a D grade.
96,61,25,10,83,Student has a B grade.
